run,run_tardiness_Z,cumulative_mean_Z
292,23.659,22.8099
293,27.32,22.8253
294,25.38,22.834
295,19.906,22.8241
296,18.509,22.8095
297,26.236,22.821
298,29.741,22.8443
299,14.123,22.8151
300,34.115,22.8528
301,22.749,22.8524
302,18.198,22.837
303,19.471,22.8259
304,21.679,22.8221
305,24.633,22.8281
306,16.498,22.8074
307,13.445,22.7769
308,22.488,22.7759
309,30.384,22.8006
310,31.401,22.8283
311,22.78,22.8282
312,23.39,22.83
313,20.995,22.8241
314,16.087,22.8026
315,11.764,22.7676
316,28.818,22.7867
317,14.301,22.76
318,33.35,22.7933
319,32.474,22.8236
320,29.921,22.8458
321,15.992,22.8244
322,28.116,22.8409
323,25.07,22.8478
324,20.316,22.84
325,21.239,22.835
326,19.462,22.8247
327,20.917,22.8189
328,23.058,22.8196
329,32.638,22.8494
330,38.349,22.8964
331,21.878,22.8933
332,9.637,22.8534
333,26.082,22.8631
334,13.379,22.8347
335,24.708,22.8403
336,11.898,22.8077
337,14.013,22.7816
338,32.891,22.8115
339,26.521,22.8225
340,17.378,22.8065
341,18.955,22.7952
342,20.905,22.7896
343,27.865,22.8044
344,9.311,22.7652
345,13.419,22.7381
346,22.8,22.7383
347,20.025,22.7305
348,14.39,22.7065
349,21.37,22.7027
350,14.061,22.678
351,7.851,22.6358
352,20.555,22.6298
353,15.12,22.6086
354,22.051,22.607
355,27.814,22.6217
356,20.57,22.6159
357,21.422,22.6126
358,11.583,22.5817
359,16.292,22.5642
360,24.443,22.5694
361,20.675,22.5642
362,25.421,22.5721
363,18.023,22.5596
364,12.599,22.5322
365,20.003,22.5253
366,17.685,22.512
367,23.203,22.5139
368,19.772,22.5065
369,19.192,22.4975
370,28.048,22.5125
371,36.182,22.5493
372,24.74,22.5552
373,24.728,22.561
374,17.658,22.5479
375,12.881,22.5222
376,13.117,22.4971
377,18.784,22.4873
378,17.82,22.4749
379,26.933,22.4867
380,27.224,22.4992
381,19.098,22.4903
382,21.971,22.4889
383,14.395,22.4678
384,18.116,22.4564
385,15.865,22.4393
386,20.149,22.4334
387,23.812,22.4369
388,15.692,22.4196
389,20.902,22.4157
390,19.173,22.4073
391,18.285,22.3968
392,10.143,22.3655
393,27.688,22.3791
394,31.939,22.4033
395,21.835,22.4019
396,30.788,22.4231
397,19.229,22.415
398,31.549,22.438
399,26.53,22.4482
400,13.376,22.4256
401,29.808,22.444
402,18.519,22.4342
