run,k_stoppages,timing_band,first_start_day,passive_tardiness,model1_tardiness,model2_tardiness
800,4,late,103.7,3.45,3.45,3.45
801,5,early,6.1,17.78,17.78,12.145
802,5,early,7.1,23.0,23.0,17.102
803,5,early,2.9,44.52,44.52,37.866
804,5,early,6.2,29.65,29.65,23.671
805,5,early,25.1,20.75,20.75,16.375
806,5,early,27.2,11.77,11.77,7.839
807,5,early,19.9,32.16,32.16,25.995
808,5,early,5.0,18.33,18.33,13.353
809,5,early,23.2,22.23,22.23,17.355
810,5,early,20.2,16.4,16.4,11.219
811,5,early,14.9,29.47,29.47,24.326
812,5,early,3.1,33.72,33.72,27.739
813,5,early,8.0,32.21,32.21,26.741
814,5,early,14.1,24.23,24.23,19.205
815,5,early,19.9,20.02,20.02,14.647
816,5,early,5.2,13.17,13.17,8.056
817,5,early,27.1,26.79,26.79,22.415
818,5,early,12.7,30.64,30.64,24.909
819,5,early,19.0,24.09,24.09,17.759
820,5,early,11.0,24.9,24.9,19.431
821,5,early,17.3,29.13,29.13,22.965
822,5,early,26.7,30.62,30.62,26.078
823,5,early,28.8,18.35,18.35,13.975
824,5,early,29.0,18.4,18.4,13.858
825,5,early,20.1,8.71,8.71,4.123
826,5,early,21.1,24.94,24.94,19.448
827,5,early,20.5,22.11,22.11,16.666
828,5,early,7.8,36.09,36.09,30.621
829,5,early,20.2,13.96,13.96,8.66
830,5,early,3.3,19.03,19.03,13.228
831,5,early,20.6,28.21,28.21,22.623
832,5,early,6.7,32.23,32.23,26.065
833,5,early,1.4,15.63,15.63,9.972
834,5,early,8.7,34.29,34.29,28.821
835,5,early,10.3,19.28,19.28,13.526
836,5,early,8.6,18.88,18.88,14.309
837,5,early,21.1,20.83,20.83,15.411
838,5,early,24.3,15.42,15.42,11.022
839,5,early,19.4,21.31,21.31,15.199
840,5,early,19.6,13.39,13.39,8.243
841,5,early,23.4,10.81,10.81,5.953
842,5,early,3.6,25.64,25.64,19.838
843,5,early,16.1,11.55,11.55,7.028
844,5,early,20.4,28.11,28.11,22.785
845,5,early,18.9,29.39,29.39,24.342
846,5,early,19.0,18.47,18.47,12.835
847,5,early,2.5,24.55,24.55,17.75
848,5,early,6.0,28.12,28.12,22.651
849,5,early,26.9,12.59,12.59,8.567
850,5,early,6.6,19.26,19.26,13.72
851,5,early,25.8,25.1,25.1,20.51
852,5,early,1.3,16.46,16.46,10.773
853,5,early,11.9,40.59,40.59,35.121
854,5,early,8.1,17.8,17.8,11.902
855,5,early,25.4,29.53,29.53,24.726
856,5,early,28.2,23.94,23.94,19.565
857,5,early,23.7,15.44,15.44,11.617
858,5,early,3.0,35.1,35.1,29.142
859,5,early,26.9,21.63,21.63,16.945
860,5,early,16.0,16.88,16.88,11.349
861,5,early,4.6,23.24,23.24,17.771
862,5,early,23.9,26.82,26.82,22.674
863,5,early,21.6,21.77,21.77,16.637
864,5,early,5.2,16.65,16.65,12.075
865,5,early,11.5,44.07,44.07,38.601
866,5,early,17.2,19.22,19.22,12.985
867,5,early,14.6,19.74,19.74,14.271
868,5,middle,87.6,6.24,6.24,5.123
869,5,middle,38.3,19.25,19.25,14.875
870,5,middle,81.9,12.45,12.45,11.356
871,5,middle,63.6,22.98,22.98,20.793
872,5,middle,73.1,9.31,9.31,7.004
873,5,middle,65.8,14.84,14.84,12.653
874,5,middle,61.4,13.27,13.27,10.774
875,5,middle,47.0,30.05,30.05,26.769
876,5,middle,73.8,8.52,8.52,5.637
877,5,middle,40.4,10.29,10.29,6.203
878,5,middle,75.7,9.55,9.55,7.363
879,5,middle,70.5,7.6,7.6,4.983
880,5,middle,36.2,19.74,19.74,15.15
881,5,middle,84.7,10.49,10.49,9.396
882,5,middle,34.4,21.04,21.04,16.284
883,5,middle,70.0,10.26,10.26,8.073
884,5,middle,50.8,14.86,14.86,11.341
885,5,middle,89.4,7.32,7.32,6.012
886,5,middle,86.1,8.36,8.36,7.266
887,5,middle,33.7,15.61,15.61,11.727
888,5,middle,52.6,9.42,9.42,6.716
889,5,middle,40.2,12.31,12.31,8.104
890,5,middle,89.8,9.09,9.09,7.996
891,5,middle,42.6,15.32,15.32,11.587
892,5,middle,60.7,16.57,16.57,13.835
893,5,middle,45.7,18.12,18.12,14.935
894,5,middle,43.6,19.79,19.79,16.294
895,5,middle,69.6,6.04,6.04,4.296
