run,k_stoppages,timing_band,first_start_day,passive_tardiness,model1_tardiness,model2_tardiness
260,2,early,28.7,10.72,10.72,6.345
261,2,early,1.9,15.1,15.1,8.777
262,2,early,18.0,13.74,13.74,8.271
263,2,early,24.9,13.53,13.53,9.155
264,2,early,4.2,14.74,14.74,8.938
265,2,early,28.3,10.66,10.66,6.023
266,2,early,14.3,7.8,7.8,4.299
267,2,early,7.7,9.45,9.45,3.981
268,2,middle,79.5,3.57,3.57,1.987
269,2,middle,49.9,8.56,8.56,5.112
270,2,middle,42.6,3.38,3.38,0.493
271,2,middle,33.0,9.51,9.51,5.67
272,2,middle,83.1,1.5,1.5,0.75
273,2,middle,36.7,11.1,11.1,6.702
274,2,middle,44.8,10.02,10.02,6.572
275,2,middle,75.1,4.98,4.98,2.793
276,2,middle,80.6,4.38,4.38,2.953
277,2,middle,74.5,3.63,3.63,1.743
278,2,middle,40.0,6.05,6.05,1.915
279,2,middle,54.4,4.64,4.64,1.359
280,2,middle,78.7,6.02,6.02,4.072
281,2,middle,59.0,8.08,8.08,4.99
282,2,middle,33.4,5.26,5.26,0.799
283,2,middle,88.4,5.54,5.54,4.446
284,2,middle,82.1,3.24,3.24,2.194
285,2,middle,86.8,5.42,5.42,4.326
286,2,middle,43.8,4.26,4.26,1.47
287,2,middle,46.0,7.12,7.12,3.839
288,2,middle,31.7,9.44,9.44,5.065
289,2,middle,49.4,10.96,10.96,7.679
290,2,middle,34.7,9.76,9.76,5.385
291,2,middle,68.7,6.45,6.45,4.262
292,2,middle,55.2,10.57,10.57,7.528
293,2,middle,49.4,5.6,5.6,2.704
294,2,middle,82.0,1.82,1.82,0.91
295,2,middle,74.0,5.29,5.29,3.703
296,2,middle,56.0,6.02,6.02,3.062
297,2,middle,58.2,4.77,4.77,2.093
298,2,middle,68.8,2.89,2.89,1.788
299,2,middle,52.9,3.88,3.88,1.617
300,2,middle,61.7,2.69,2.69,1.235
301,2,middle,78.5,1.85,1.85,0.0
302,2,middle,86.6,2.66,2.66,1.126
303,2,middle,85.6,7.14,7.14,6.046
304,2,middle,79.6,4.96,4.96,3.377
305,2,middle,54.9,8.31,8.31,5.029
306,2,middle,43.9,7.54,7.54,4.044
307,2,middle,38.3,16.74,16.74,11.669
308,2,middle,33.4,9.37,9.37,4.995
309,2,middle,80.5,5.16,5.16,3.733
310,2,middle,68.0,5.62,5.62,3.48
311,2,middle,56.1,6.26,6.26,3.048
312,2,middle,32.4,7.07,7.07,2.695
313,2,middle,76.1,3.84,3.84,1.676
314,2,middle,58.9,4.71,4.71,1.716
315,2,middle,36.4,7.06,7.06,2.685
316,2,middle,68.5,10.23,10.23,8.043
317,2,middle,61.2,6.24,6.24,3.719
318,2,middle,87.1,9.7,9.7,8.606
319,2,middle,74.2,4.6,4.6,3.204
320,2,middle,60.0,7.32,7.32,4.255
321,2,middle,77.5,1.81,1.81,0.856
322,2,middle,75.6,8.02,8.02,5.832
323,2,middle,79.1,6.82,6.82,4.92
324,2,middle,43.3,7.16,7.16,3.879
325,2,middle,33.2,12.36,12.36,8.441
326,2,middle,71.1,3.61,3.61,2.302
327,2,middle,37.8,8.9,8.9,4.525
328,2,middle,82.5,4.7,4.7,3.606
329,2,middle,37.2,7.96,7.96,2.889
330,2,middle,78.1,8.08,8.08,6.084
331,2,middle,52.3,4.78,4.78,1.654
332,2,middle,74.9,7.86,7.86,5.673
333,2,middle,68.7,5.41,5.41,2.527
334,2,middle,49.4,3.12,3.12,0.78
335,2,late,112.1,1.63,1.63,1.63
336,2,late,92.3,5.16,5.16,3.947
337,2,late,91.2,4.44,4.44,3.084
338,2,late,110.3,1.21,1.21,1.21
339,2,late,97.0,2.49,2.49,1.54
340,2,late,109.1,2.34,2.34,2.34
341,2,late,105.4,2.98,2.98,2.98
342,2,late,97.9,3.19,3.19,2.336
343,2,late,113.9,0.75,0.75,0.75
344,2,late,110.3,2.53,2.53,2.53
345,2,late,113.9,2.91,2.91,2.91
346,2,late,107.4,4.1,4.1,4.1
347,2,late,103.2,3.57,3.57,3.57
348,2,late,102.4,2.1,2.1,2.1
349,2,late,96.5,2.7,2.7,1.702
350,2,late,94.8,5.64,5.64,4.546
351,2,late,100.0,0.81,0.81,0.477
352,2,late,109.0,3.21,3.21,3.21
353,2,late,92.7,3.7,3.7,2.654
354,2,late,112.3,0.46,0.46,0.46
355,2,late,100.6,1.5,1.5,1.5
356,2,late,101.6,0.51,0.51,0.51
357,2,late,109.9,2.44,2.44,2.44
358,2,late,104.3,3.1,3.1,3.1
359,2,late,112.5,2.32,2.32,2.32
360,2,late,114.2,2.49,2.49,2.49
361,2,late,100.2,2.6,2.6,2.267
362,2,late,110.1,2.15,2.15,2.15
363,2,late,113.8,2.79,2.79,2.79
364,2,late,115.2,1.83,1.83,1.83
365,2,late,95.9,4.5,4.5,3.406
366,2,late,95.5,5.12,5.12,4.026
367,2,late,93.0,2.81,2.81,1.812
368,2,late,116.6,0.0,0.0,0.0
369,2,late,114.6,1.82,1.82,1.82
370,2,late,115.9,0.0,0.0,0.0
371,2,late,107.4,1.51,1.51,1.51
372,2,late,107.6,1.94,1.94,1.94
373,2,late,94.0,2.65,2.65,1.556
374,2,late,114.1,1.43,1.43,1.43
375,2,late,107.4,3.63,3.63,3.63
376,2,late,99.5,1.78,1.78,1.447
377,2,late,97.1,1.74,1.74,0.79
378,2,late,97.7,2.7,2.7,1.846
379,2,late,91.7,3.85,3.85,2.756
380,2,late,101.8,2.03,2.03,2.03
381,2,late,113.2,2.04,2.04,2.04
382,2,late,106.8,2.65,2.65,2.65
383,2,late,114.6,2.85,2.85,2.85
384,2,late,100.0,3.15,3.15,2.35
385,2,late,98.0,3.92,3.92,2.803
386,2,late,115.4,0.0,0.0,0.0
387,2,late,102.2,3.25,3.25,3.25
388,2,late,99.4,2.42,2.42,2.087
389,2,late,95.4,4.27,4.27,3.176
390,2,late,101.0,3.1,3.1,3.1
391,2,late,91.9,6.26,6.26,4.856
392,2,late,115.1,3.68,3.68,3.68
393,2,late,104.2,2.51,2.51,2.51
394,2,late,98.1,3.3,3.3,2.494
395,2,late,97.4,1.87,1.87,0.968
396,2,late,112.1,4.0,4.0,4.0
397,2,late,110.1,2.27,2.27,2.27
398,2,late,107.9,2.61,2.61,2.61
399,2,late,108.0,2.7,2.7,2.7
400,2,late,103.7,3.7,3.7,3.7
401,3,early,27.5,6.35,6.35,1.808
402,3,early,25.6,13.11,13.11,8.735
403,3,early,3.9,11.02,11.02,5.218
404,3,early,1.6,18.4,18.4,12.029
405,3,early,29.0,9.09,9.09,4.5
406,3,early,13.7,15.72,15.72,9.989
407,3,early,26.0,5.11,5.11,1.442
408,3,early,23.1,9.47,9.47,4.691
409,3,early,6.4,21.66,21.66,16.191
410,3,early,9.2,12.33,12.33,6.861
411,3,early,3.3,15.34,15.34,9.538
412,3,early,12.6,11.8,11.8,7.331
413,3,early,7.0,13.66,13.66,8.025
414,3,early,7.8,21.32,21.32,15.828
415,3,early,11.1,25.84,25.84,20.371
416,3,early,5.9,12.16,12.16,6.573
417,3,early,26.7,18.17,18.17,13.891
418,3,early,5.5,14.05,14.05,8.773
419,3,early,10.5,14.87,14.87,9.33
420,3,early,3.9,18.49,18.49,12.569
421,3,early,6.7,10.86,10.86,4.991
422,3,early,12.6,11.88,11.88,6.388
423,3,early,5.1,21.88,21.88,16.411
424,3,early,17.6,13.24,13.24,8.703
425,3,early,23.4,11.52,11.52,6.812
426,3,early,10.1,19.7,19.7,14.208
427,3,early,19.3,14.86,14.86,9.425
428,3,early,20.6,17.1,17.1,11.656
429,3,early,15.2,12.76,12.76,7.125
430,3,early,28.3,17.38,17.38,12.743
431,3,early,15.9,11.52,11.52,6.051
432,3,early,7.1,17.82,17.82,12.351
433,3,early,11.3,11.92,11.92,6.451
434,3,early,13.2,10.6,10.6,5.763
435,3,early,28.3,15.0,15.0,10.41
436,3,early,4.7,13.16,13.16,7.573
437,3,early,7.6,17.92,17.92,12.451
438,3,early,14.6,13.69,13.69,9.017
439,3,early,25.7,9.58,9.58,5.553
440,3,early,1.1,10.59,10.59,4.737
441,3,early,13.4,14.06,14.06,9.238
442,3,early,2.7,13.74,13.74,7.538
443,3,early,19.4,12.8,12.8,7.379
444,3,early,3.9,18.79,18.79,12.521
445,3,early,27.2,19.63,19.63,15.232
446,3,early,20.4,12.6,12.6,7.252
447,3,early,16.4,17.85,17.85,12.381
448,3,early,7.8,9.86,9.86,4.883
449,3,early,15.2,18.99,18.99,13.521
450,3,early,14.6,16.49,16.49,11.021
451,3,early,28.9,11.77,11.77,7.395
452,3,early,20.8,19.05,19.05,13.773
453,3,early,27.0,15.34,15.34,10.965
454,3,early,11.6,15.54,15.54,10.071
455,3,early,13.2,11.51,11.51,6.881
456,3,early,15.6,26.78,26.78,21.311
457,3,early,10.6,20.66,20.66,15.191
458,3,early,2.2,9.05,9.05,2.775
459,3,early,1.2,17.31,17.31,10.891
460,3,early,27.4,10.66,10.66,6.285
461,3,early,20.7,13.25,13.25,7.973
462,3,early,6.3,23.98,23.98,18.511
463,3,early,24.9,8.15,8.15,3.41
464,3,early,10.2,19.58,19.58,13.201
465,3,early,2.1,23.34,23.34,16.898
466,3,early,1.4,27.96,27.96,21.589
467,3,early,13.0,7.67,7.67,2.441
468,3,middle,71.0,5.32,5.32,3.264
469,3,middle,44.0,10.14,10.14,6.859
470,3,middle,36.7,8.93,8.93,4.555
471,3,middle,79.6,2.28,2.28,0.697
472,3,middle,73.1,9.66,9.66,7.402
473,3,middle,40.2,6.4,6.4,2.36
474,3,middle,49.8,14.43,14.43,11.149
475,3,middle,70.4,5.14,5.14,2.738
476,3,middle,52.5,10.41,10.41,7.106
477,3,middle,83.9,7.19,7.19,6.096
478,3,middle,78.6,6.84,6.84,5.096
479,3,middle,42.0,7.13,7.13,3.863
480,3,middle,41.6,4.06,4.06,0.866
481,3,middle,66.9,7.88,7.88,6.04
482,3,middle,78.9,5.18,5.18,3.328
483,3,middle,73.6,10.49,10.49,8.302
484,3,middle,60.1,9.63,9.63,6.684
485,3,middle,42.0,6.49,6.49,3.271
486,3,middle,31.3,12.32,12.32,7.826
487,3,middle,79.2,6.75,6.75,4.898
488,3,middle,34.6,8.07,8.07,3.528
489,3,middle,62.7,4.48,4.48,2.27
490,3,middle,45.8,8.93,8.93,5.649
491,3,middle,32.0,10.13,10.13,5.755
492,3,middle,82.3,4.49,4.49,3.396
493,3,middle,47.5,13.58,13.58,10.228
494,3,middle,39.7,10.9,10.9,7.49
495,3,middle,53.9,9.04,9.04,5.759
496,3,middle,76.8,9.92,9.92,7.876
497,3,middle,78.5,5.58,5.58,3.465
498,3,middle,87.5,5.75,5.75,4.585
499,3,middle,62.3,5.7,5.7,3.513
500,3,middle,88.2,6.78,6.78,5.568
501,3,middle,83.2,5.29,5.29,4.196
502,3,middle,63.0,5.58,5.58,2.53
503,3,middle,87.1,6.54,6.54,5.446
504,3,middle,87.4,5.16,5.16,4.066
505,3,middle,38.3,10.22,10.22,5.941
506,3,middle,36.2,10.81,10.81,6.435
507,3,middle,42.9,11.25,11.25,7.731
508,3,middle,49.3,11.43,11.43,8.149
509,3,middle,31.7,8.43,8.43,4.487
510,3,middle,47.8,9.23,9.23,5.926
511,3,middle,82.4,7.28,7.28,6.186
512,3,middle,37.4,11.53,11.53,6.87
513,3,middle,51.8,14.06,14.06,10.516
514,3,middle,74.6,5.58,5.58,3.392
515,3,middle,85.0,5.37,5.37,4.062
516,3,middle,60.4,8.62,8.62,5.658
517,3,middle,66.8,8.05,8.05,5.862
518,3,middle,54.1,10.9,10.9,7.873
519,3,middle,60.5,6.75,6.75,4.073
520,3,middle,65.3,10.35,10.35,7.9
521,3,middle,87.6,5.55,5.55,4.456
522,3,middle,64.3,10.58,10.58,8.13
523,3,middle,61.5,5.98,5.98,3.555
524,3,middle,51.7,6.71,6.71,3.239
525,3,middle,54.7,13.38,13.38,10.099
526,3,middle,57.0,7.79,7.79,3.956
527,3,middle,41.1,11.68,11.68,7.426
528,3,middle,83.8,8.6,8.6,7.506
529,3,middle,40.2,7.82,7.82,3.685
530,3,middle,68.2,12.05,12.05,9.792
531,3,middle,55.3,7.87,7.87,4.47
532,3,middle,80.7,3.69,3.69,2.407
533,3,middle,46.7,16.0,16.0,12.719
534,3,middle,38.2,5.25,5.25,1.542
535,3,late,100.8,4.27,4.27,4.27
536,3,late,102.8,4.24,4.24,4.24
537,3,late,100.6,3.27,3.27,3.27
538,3,late,104.3,4.16,4.16,4.16
539,3,late,105.8,3.1,3.1,3.1
540,3,late,99.3,3.31,3.31,2.977
541,3,late,98.7,2.84,2.84,2.35
542,3,late,98.3,5.88,5.88,5.122
543,3,late,94.4,5.25,5.25,4.156
544,3,late,101.7,2.7,2.7,2.7
545,3,late,107.3,3.39,3.39,3.39
546,3,late,92.1,4.8,4.8,3.706
547,3,late,92.0,4.49,4.49,3.396
548,3,late,109.6,2.69,2.69,2.69
549,3,late,112.7,3.78,3.78,3.78
550,3,late,92.2,9.4,9.4,8.306
551,3,late,110.5,4.09,4.09,4.09
552,3,late,98.3,4.86,4.86,3.791
553,3,late,110.2,3.06,3.06,3.06
554,3,late,102.1,2.69,2.69,2.69
555,3,late,114.9,3.4,3.4,3.4
556,3,late,113.9,4.88,4.88,4.88
557,3,late,95.0,3.25,3.25,2.156
558,3,late,115.7,0.0,0.0,0.0
559,3,late,94.5,2.72,2.72,1.316
560,3,late,91.2,6.36,6.36,5.266
561,3,late,98.4,3.4,3.4,2.642
562,3,late,110.2,2.55,2.55,2.55
563,3,late,102.8,4.87,4.87,4.87
564,3,late,102.3,3.51,3.51,3.51
565,3,late,106.4,4.89,4.89,4.89
566,3,late,94.6,5.43,5.43,4.336
567,3,late,106.6,2.51,2.51,2.51
568,3,late,116.6,0.0,0.0,0.0
569,3,late,105.7,4.63,4.63,4.63
570,3,late,110.4,3.87,3.87,3.87
571,3,late,116.9,0.0,0.0,0.0
572,3,late,114.9,4.09,4.09,4.09
573,3,late,92.6,3.13,3.13,1.918
574,3,late,104.4,3.62,3.62,3.62
575,3,late,103.4,4.78,4.78,4.78
576,3,late,106.9,3.82,3.82,3.82
577,3,late,101.6,5.44,5.44,5.44
578,3,late,107.7,2.54,2.54,2.54
579,3,late,101.6,2.08,2.08,2.08
580,3,late,105.2,4.05,4.05,4.05
581,3,late,106.6,3.35,3.35,3.35
582,3,late,103.7,3.59,3.59,3.59
583,3,late,114.9,2.7,2.7,2.7
584,3,late,115.2,2.76,2.76,2.76
585,3,late,104.8,3.75,3.75,3.75
586,3,late,91.3,5.28,5.28,3.49
587,3,late,115.6,0.0,0.0,0.0
588,3,late,98.0,1.44,1.44,0.634
589,3,late,96.9,5.33,5.33,4.07
590,3,late,108.2,1.16,1.16,1.16
591,3,late,102.8,2.09,2.09,2.09
592,3,late,104.4,3.94,3.94,3.94
593,3,late,112.7,3.09,3.09,3.09
594,3,late,101.8,2.92,2.92,2.92
595,3,late,110.8,4.34,4.34,4.34
596,3,late,91.2,3.39,3.39,2.296
597,3,late,113.2,3.47,3.47,3.47
598,3,late,105.7,3.81,3.81,3.81
599,3,late,115.0,1.72,1.72,1.72
600,3,late,91.4,2.48,2.48,0.69
601,4,early,21.4,23.53,23.53,18.23
602,4,early,2.7,20.0,20.0,13.917
603,4,early,7.9,28.06,28.06,22.425
604,4,early,5.1,19.13,19.13,13.495
605,4,early,18.4,8.01,8.01,4.15
606,4,early,2.7,15.33,15.33,8.793
607,4,early,11.5,28.33,28.33,22.861
608,4,early,29.4,13.03,13.03,8.325
609,4,early,27.7,10.72,10.72,6.345
610,4,early,1.8,19.4,19.4,13.049
611,4,early,5.9,11.84,11.84,6.454
612,4,early,11.7,11.15,11.15,6.353
613,4,early,24.8,9.4,9.4,5.025
614,4,early,17.9,22.28,22.28,16.811
615,4,early,13.7,24.77,24.77,19.301
616,4,early,9.2,17.64,17.64,12.324
617,4,early,27.2,13.94,13.94,9.565
618,4,early,10.4,26.43,26.43,20.265
619,4,early,24.5,17.48,17.48,13.105
620,4,early,19.8,11.6,11.6,7.279
621,4,early,3.5,17.49,17.49,11.807
622,4,early,4.3,16.03,16.03,10.672
623,4,early,16.4,14.4,14.4,9.575
624,4,early,18.1,22.79,22.79,17.25
625,4,early,23.0,14.73,14.73,9.951
626,4,early,28.8,14.57,14.57,9.38
627,4,early,1.4,29.3,29.3,22.715
628,4,early,26.3,10.69,10.69,6.103
629,4,early,20.7,27.62,27.62,22.057
630,4,early,18.5,20.59,20.59,15.542
631,4,early,6.6,8.08,8.08,3.81
632,4,early,6.4,17.14,17.14,11.255
633,4,early,21.0,10.47,10.47,5.241
634,4,early,24.2,17.39,17.39,13.015
635,4,early,25.5,8.46,8.46,4.999
636,4,early,18.1,21.3,21.3,15.831
637,4,early,1.2,26.45,26.45,19.96
638,4,early,20.5,16.25,16.25,11.412
639,4,early,29.8,26.12,26.12,21.364
640,4,early,11.5,23.52,23.52,17.885
641,4,early,22.4,13.21,13.21,8.431
642,4,early,10.4,10.36,10.36,5.053
643,4,early,1.2,13.82,13.82,7.401
644,4,early,9.7,26.92,26.92,21.451
645,4,early,3.3,19.26,19.26,13.339
646,4,early,3.0,9.5,9.5,3.29
647,4,early,21.4,21.91,21.91,16.562
648,4,early,22.3,22.82,22.82,17.416
649,4,early,6.5,19.87,19.87,14.33
650,4,early,19.8,10.3,10.3,5.81
651,4,early,10.7,18.88,18.88,13.388
652,4,early,29.6,9.07,9.07,4.433
653,4,early,23.2,19.39,19.39,13.986
654,4,early,18.4,25.1,25.1,19.631
655,4,early,23.4,17.4,17.4,12.429
656,4,early,14.8,23.6,23.6,18.131
657,4,early,1.8,29.08,29.08,22.686
658,4,early,5.3,9.79,9.79,4.816
659,4,early,29.5,19.26,19.26,14.885
