run,k_reworks,realised_failures,timing_band,first_start_day,rework_types,passive_tardiness,model1_tardiness,model2_tardiness,passive_makespan,model1_makespan,model2_makespan
972,5,4,late,102.0,B|C|C|C|C,13.431,5.415,5.237,130.887,122.871,122.694
973,5,5,late,99.6,B|C|B|C|C,17.881,6.663,6.485,135.338,124.119,123.942
974,5,4,late,108.3,C|C|C|C|C,14.944,6.127,6.127,132.4,123.583,123.583
975,5,5,late,103.8,C|C|C|C|C,20.823,8.088,8.088,138.279,125.544,125.544
976,5,5,late,103.6,C|C|C|C|C,20.823,8.088,8.088,138.279,125.544,125.544
977,5,5,late,107.8,C|C|C|C|C,19.108,8.088,8.088,136.565,125.544,125.544
978,5,5,late,98.4,C|C|C|C|C,20.823,8.088,8.088,138.279,125.544,125.544
979,5,5,late,107.6,C|C|C|C|C,19.108,8.088,8.088,136.565,125.544,125.544
980,5,3,late,112.8,C|C|C|C|C,10.779,4.167,4.167,128.235,121.623,121.623
981,5,5,late,100.5,C|C|C|C|C,20.823,8.088,8.088,138.279,125.544,125.544
982,5,5,late,108.2,C|C|C|C|C,19.108,8.088,8.088,136.565,125.544,125.544
983,5,5,late,104.2,C|C|C|C|C,19.108,8.088,8.088,136.565,125.544,125.544
984,5,5,late,102.1,B|C|C|C|C,19.31,7.375,7.198,136.767,124.831,124.654
985,5,5,late,91.8,A|B|B|C|C,15.929,5.073,4.675,133.385,122.529,122.131
986,5,5,late,100.1,B|B|C|C|C,17.881,6.663,6.485,135.338,124.119,123.942
987,5,5,late,101.2,C|C|C|C|C,19.108,8.088,8.088,136.565,125.544,125.544
988,5,5,late,104.8,C|C|C|C|C,20.823,8.088,8.088,138.279,125.544,125.544
989,5,3,late,112.0,C|C|C|C|C,10.779,4.167,4.167,128.235,121.623,121.623
990,5,5,late,107.9,C|C|C|C|C,19.108,8.088,8.088,136.565,125.544,125.544
991,5,5,late,104.9,C|C|C|C|C,20.823,8.088,8.088,138.279,125.544,125.544
992,5,4,late,98.9,A|C|C|C|C,12.765,4.538,4.258,130.221,121.994,121.715
993,5,5,late,101.7,B|C|C|C|C,19.394,7.375,7.198,136.85,124.831,124.654
994,5,5,late,100.0,C|C|C|C|C,20.823,8.088,8.088,138.279,125.544,125.544
995,5,5,late,103.0,C|C|C|C|C,20.823,8.088,8.088,138.279,125.544,125.544
996,5,5,late,96.7,C|B|C|C|C,21.76,9.846,9.669,136.767,124.831,124.654
997,5,4,late,108.7,C|C|C|C|C,14.944,6.127,6.127,132.4,123.583,123.583
998,5,5,late,103.7,C|C|C|C|C,19.108,8.088,8.088,136.565,125.544,125.544
999,5,5,late,104.1,C|C|C|C|C,19.108,8.088,8.088,136.565,125.544,125.544
1000,5,5,late,100.5,C|C|C|C|C,20.823,8.088,8.088,138.279,125.544,125.544
