run,k_reworks,realised_failures,timing_band,first_start_day,rework_types,passive_tardiness,model1_tardiness,model2_tardiness,passive_makespan,model1_makespan,model2_makespan
237,2,2,early,25.0,C|C,31.602,14.723,9.142,125.785,121.377,120.283
238,2,2,early,28.7,A|A,11.479,1.296,0.0,122.048,117.919,117.306
239,2,2,early,2.2,A|B,10.183,3.506,0.65,120.977,119.075,117.981
240,2,2,early,25.2,C|A,25.415,8.794,4.327,123.917,119.787,118.694
241,2,2,early,19.2,B|B,16.413,5.617,1.742,122.927,119.017,118.423
242,2,2,early,1.1,C|C,33.317,12.742,8.048,125.785,121.377,120.283
243,2,2,early,27.0,C|A,30.006,9.535,5.069,123.917,119.787,118.694
244,2,2,early,22.6,A|B,15.158,3.135,3.588,122.129,119.075,118.029
245,2,2,early,7.8,A|C,19.808,4.025,1.779,123.917,119.787,118.694
246,2,2,early,19.8,B|A,18.269,5.767,4.446,122.487,119.075,117.981
247,2,2,early,14.9,A|C,19.808,4.025,1.779,123.917,119.787,118.694
248,2,2,early,19.4,C|A,34.171,11.623,9.256,123.917,119.787,118.694
249,2,2,early,10.6,C|B,30.458,11.852,9.438,124.356,120.665,119.571
250,2,2,early,19.0,B|A,22.86,6.508,2.133,122.487,119.075,117.981
251,2,2,early,15.1,A|C,15.644,2.065,1.202,123.917,118.317,118.658
252,2,2,early,20.6,C|B,31.479,15.081,12.954,124.356,120.665,119.571
253,2,2,early,14.5,A|C,23.973,5.985,3.017,123.917,119.787,118.694
254,2,2,early,6.8,B|C,20.077,7.042,2.348,124.273,119.194,118.875
255,2,2,early,9.4,C|B,38.665,15.596,10.265,124.356,120.665,119.571
256,2,2,early,29.8,A|A,13.775,1.667,0.0,122.048,118.198,117.344
257,2,2,early,17.9,C|B,35.929,14.475,9.192,124.356,120.665,119.571
258,2,2,early,28.6,C|C,39.931,18.26,15.719,125.785,121.377,120.283
259,2,2,early,9.1,B|A,24.74,6.879,2.1,122.404,119.075,117.981
260,2,2,early,15.4,B|C,17.842,5.794,2.194,124.356,119.194,118.875
261,2,2,early,5.6,C|C,29.152,10.781,6.088,125.785,119.906,119.588
262,2,2,early,12.8,B|B,16.413,5.617,1.742,122.927,119.017,118.423
263,2,2,early,11.9,B|A,22.86,6.508,2.133,122.487,119.075,117.981
264,2,2,early,10.4,B|A,20.565,6.138,1.671,122.487,119.075,117.981
265,2,2,early,28.3,A|C,25.842,7.61,4.05,123.917,119.787,118.694
266,2,2,early,9.4,B|B,21.883,8.113,6.792,122.927,119.952,118.858
267,2,2,early,30.0,B|B,16.413,5.617,5.39,122.927,119.952,118.858
268,2,2,middle,62.7,B|C,10.656,5.258,1.885,122.642,121.154,118.875
269,2,2,middle,69.0,B|C,9.635,2.05,1.731,124.356,119.194,118.875
270,2,2,middle,63.3,B|C,20.7,7.91,5.546,124.356,120.665,119.571
271,2,2,middle,69.3,A|B,9.896,2.023,0.525,122.404,119.075,117.981
272,2,2,middle,83.2,A|C,6.46,0.617,0.338,123.917,118.073,117.794
273,2,2,middle,44.4,B|A,15.2,4.519,4.292,122.404,119.075,117.981
274,2,2,middle,60.1,C|B,15.229,4.723,3.035,124.356,119.729,119.135
275,2,2,middle,52.4,A|B,12.358,2.394,4.425,122.487,119.075,118.125
276,2,2,middle,74.6,A|B,7.327,0.775,0.0,122.487,118.14,117.367
277,2,2,middle,88.2,A|A,3.081,0.183,0.0,120.537,117.64,117.306
278,2,2,middle,58.4,B|A,12.798,3.271,0.992,122.487,119.075,117.981
279,2,2,middle,87.2,A|B,4.948,0.404,1.227,122.404,117.86,118.683
280,2,2,middle,59.6,A|C,11.052,1.323,0.542,123.917,118.317,117.998
281,2,2,middle,85.4,A|C,10.625,2.542,1.448,123.917,119.508,118.415
282,2,2,middle,39.4,A|A,16.071,2.038,0.135,122.048,118.198,117.44
283,2,2,middle,54.2,B|C,12.371,3.298,1.885,124.356,119.194,118.875
284,2,2,middle,89.9,B|C,6.9,1.494,1.494,124.356,118.95,118.95
285,2,2,middle,41.9,C|C,20.823,6.86,4.354,125.785,119.906,119.588
286,2,2,middle,32.9,B|B,13.677,4.369,1.588,122.927,119.017,118.423
287,2,2,middle,89.1,A|B,4.948,0.404,0.0,122.404,117.86,117.435
288,2,2,middle,35.6,B|A,18.167,5.26,1.575,121.998,119.075,117.981
289,2,2,middle,64.1,B|C,12.121,3.298,1.885,124.273,119.194,118.875
290,2,2,middle,76.4,B|A,7.767,1.652,0.467,122.487,118.796,117.61
291,2,2,middle,33.9,B|C,23.435,8.467,5.96,124.356,120.665,119.571
292,2,2,middle,85.3,B|C,11.065,2.763,2.169,124.356,119.729,119.135
293,2,2,middle,83.9,B|A,4.948,0.404,0.0,122.404,117.86,117.435
294,2,2,middle,78.9,A|C,8.756,0.952,0.617,123.917,118.317,118.073
295,2,2,middle,33.1,A|B,19.792,5.26,5.475,122.404,119.075,117.981
296,2,2,middle,42.5,C|B,24.865,9.179,8.952,124.356,120.665,119.571
297,2,2,middle,52.4,C|A,21.25,6.833,6.606,123.917,119.787,118.694
298,2,2,middle,46.5,B|B,10.942,3.121,1.071,122.927,119.017,118.06
299,2,2,middle,48.5,C|C,23.273,10.802,6.315,125.785,121.377,120.283
300,2,2,middle,86.8,A|A,3.081,0.183,0.0,120.537,117.64,117.306
301,2,2,middle,59.0,B|C,12.371,3.298,1.885,124.356,119.194,118.875
302,2,2,middle,84.9,A|C,6.46,0.617,0.338,123.917,118.073,117.794
303,2,2,middle,41.8,C|C,20.823,6.86,4.354,125.785,119.906,119.588
304,2,2,middle,79.5,C|C,12.494,2.94,2.621,125.785,119.906,119.588
305,2,2,middle,50.3,B|C,20.7,7.91,5.546,124.356,120.665,119.571
306,2,2,middle,35.7,A|A,16.071,2.038,0.135,122.048,118.198,117.44
307,2,2,middle,55.1,B|C,16.535,5.385,3.846,124.356,120.665,119.571
308,2,2,middle,63.1,B|A,12.798,3.271,0.992,122.487,119.075,117.981
309,2,2,middle,89.3,A|A,3.081,0.183,0.0,120.537,117.64,117.306
310,2,2,middle,36.7,C|B,26.294,9.892,8.571,124.356,120.665,119.571
311,2,2,middle,41.2,B|C,27.6,11.119,7.66,124.356,120.665,119.571
312,2,2,middle,83.6,C|C,16.658,6.127,5.033,125.785,121.377,120.283
313,2,2,middle,75.8,B|C,9.635,2.05,1.731,124.356,119.194,118.875
314,2,2,middle,47.5,B|C,20.7,7.91,5.546,124.356,120.665,119.571
315,2,2,middle,46.4,A|A,11.479,1.296,0.506,122.048,118.198,117.392
316,2,2,middle,44.9,C|A,21.25,6.833,6.606,123.917,119.787,118.694
317,2,2,middle,50.3,A|C,19.381,5.279,2.813,123.917,119.787,118.694
318,2,2,middle,62.1,A|C,11.206,4.802,2.692,123.917,119.787,118.79
319,2,2,middle,58.4,A|B,14.844,3.642,1.05,122.404,119.075,117.981
320,2,2,middle,83.1,B|B,8.04,1.873,0.917,122.844,119.017,118.06
321,2,2,middle,33.4,A|A,16.071,2.038,0.135,122.048,118.198,117.44
322,2,2,middle,42.2,C|C,20.823,6.86,4.354,125.785,119.906,119.588
323,2,2,middle,85.9,A|B,4.948,0.404,0.0,122.404,117.86,117.435
324,2,2,middle,66.6,C|C,16.658,4.9,3.488,125.785,119.906,119.588
325,2,2,middle,37.2,C|B,23.558,8.771,5.267,124.356,119.729,119.458
326,2,2,middle,43.8,A|A,11.479,1.296,0.506,122.048,118.198,117.392
327,2,2,middle,43.0,C|C,29.152,10.781,8.275,125.785,121.377,120.283
328,2,2,middle,69.4,A|B,9.896,2.023,0.525,122.404,119.075,117.981
329,2,2,middle,55.1,C|B,22.129,7.931,7.704,124.356,120.665,119.571
330,2,2,middle,35.6,B|C,31.765,12.515,8.277,124.356,120.665,119.571
331,2,2,middle,59.5,B|C,16.535,5.258,3.846,124.356,120.665,119.571
332,2,2,middle,63.5,A|C,11.206,4.802,2.692,123.917,119.787,118.79
333,2,2,middle,40.7,B|B,13.677,4.369,1.588,122.927,119.017,118.423
334,2,2,middle,70.4,A|B,7.327,0.775,0.0,122.487,118.14,117.367
335,2,2,late,107.1,C|C,8.329,2.206,2.206,125.785,119.662,119.662
336,2,2,late,95.8,B|C,6.9,1.494,1.317,124.356,118.95,118.773
337,2,2,late,95.1,A|B,4.948,0.404,1.227,122.404,117.86,118.683
338,2,1,late,116.2,C|C,2.45,2.45,2.45,119.906,119.906,119.906
339,2,2,late,114.0,C|C,6.615,2.45,2.45,124.071,119.906,119.906
340,2,2,late,94.1,C|C,12.494,2.94,2.621,125.785,119.906,119.588
341,2,2,late,107.9,C|C,8.329,2.206,2.206,125.785,119.662,119.662
342,2,2,late,101.1,C|C,8.329,2.206,2.206,125.785,119.662,119.662
343,2,2,late,91.6,B|C,6.9,1.494,1.317,124.356,118.95,118.773
344,2,2,late,97.1,B|C,6.9,1.494,1.317,124.356,118.95,118.773
345,2,2,late,112.1,C|C,8.329,2.206,2.206,125.785,119.662,119.662
346,2,2,late,100.3,B|C,6.9,1.494,1.317,124.356,118.95,118.773
347,2,2,late,92.1,C|B,11.065,2.763,2.169,124.356,119.729,119.135
348,2,2,late,111.2,C|C,8.329,2.206,2.206,125.785,119.662,119.662
349,2,2,late,108.0,C|C,8.329,2.206,2.206,125.785,119.662,119.662
350,2,1,late,116.9,C|C,2.45,2.45,2.45,119.906,119.906,119.906
351,2,2,late,94.4,B|C,6.9,1.494,1.494,124.356,118.95,118.95
352,2,2,late,108.8,C|C,8.329,2.206,2.206,125.785,119.662,119.662
353,2,2,late,112.7,C|C,8.329,2.206,2.206,125.785,119.662,119.662
354,2,2,late,99.4,B|C,6.9,1.494,1.317,124.356,118.95,118.773
355,2,2,late,93.0,A|B,4.948,0.404,0.0,122.404,117.86,117.435
356,2,2,late,102.6,B|C,6.817,1.494,1.317,124.273,118.95,118.773
357,2,2,late,108.1,C|C,8.329,2.206,2.206,125.785,119.662,119.662
358,2,2,late,107.0,C|C,8.329,2.206,2.206,125.785,119.662,119.662
359,2,2,late,108.4,C|C,8.329,2.206,2.206,125.785,119.662,119.662
360,2,2,late,107.4,C|C,6.615,2.45,2.45,124.071,119.906,119.906
361,2,2,late,109.5,C|C,8.329,2.206,2.206,125.785,119.662,119.662
362,2,1,late,116.4,C|C,2.45,2.45,2.45,119.906,119.906,119.906
363,2,2,late,106.3,C|C,8.329,2.206,2.206,125.785,119.662,119.662
364,2,2,late,91.9,B|C,6.9,1.494,1.317,124.356,118.95,118.773
365,2,2,late,106.6,C|C,8.329,2.206,2.206,125.785,119.662,119.662
366,2,2,late,99.0,A|B,4.638,0.404,1.227,122.094,117.86,118.683
367,2,2,late,100.3,A|C,5.958,0.617,0.581,123.415,118.073,118.037
368,2,2,late,102.5,B|C,5.102,2.45,2.45,122.558,119.906,119.906
369,2,2,late,93.0,B|C,6.9,1.494,1.317,124.356,118.95,118.773
370,2,2,late,105.4,C|C,6.615,2.45,2.45,124.071,119.906,119.906
371,2,2,late,91.2,B|C,6.9,1.494,1.317,124.356,118.95,118.773
372,2,2,late,102.6,C|C,8.329,2.206,2.206,125.785,119.662,119.662
373,2,2,late,112.7,C|C,8.329,2.206,2.206,125.785,119.662,119.662
374,2,2,late,112.0,C|C,8.329,2.206,2.206,125.785,119.662,119.662
375,2,2,late,104.6,C|C,8.329,2.206,2.206,125.785,119.662,119.662
376,2,2,late,92.8,B|C,5.185,2.45,2.45,122.642,119.906,119.906
377,2,2,late,95.2,C|A,10.625,2.669,1.531,123.917,119.508,118.371
378,2,2,late,107.5,C|C,6.615,2.45,2.45,124.071,119.906,119.906
379,2,2,late,102.7,B|C,6.817,1.494,1.317,124.273,118.95,118.773
380,2,2,late,105.7,C|C,8.329,2.206,2.206,125.785,119.662,119.662
381,2,2,late,99.5,B|C,6.9,1.494,1.317,124.356,118.95,118.773
382,2,2,late,106.0,C|C,6.615,2.45,2.45,124.071,119.906,119.906
383,2,1,late,116.0,C|C,2.45,2.45,2.45,119.906,119.906,119.906
384,2,2,late,113.2,C|C,8.329,2.206,2.206,125.785,119.662,119.662
385,2,2,late,96.6,A|B,4.948,0.404,0.0,122.404,117.86,117.435
386,2,2,late,110.9,C|C,8.329,2.206,2.206,125.785,119.662,119.662
387,2,2,late,97.4,C|C,10.779,4.921,4.602,125.785,119.906,119.588
388,2,2,late,98.6,B|C,6.9,1.494,1.317,124.356,118.95,118.773
389,2,2,late,100.9,C|C,6.615,2.45,2.45,124.071,119.906,119.906
390,2,2,late,95.3,A|C,6.46,0.617,0.338,123.917,118.073,117.794
391,2,2,late,94.0,B|C,6.9,1.494,1.317,124.356,118.95,118.773
392,2,2,late,112.3,C|C,8.329,2.206,2.206,125.785,119.662,119.662
393,2,2,late,110.7,C|C,6.615,2.45,2.45,124.071,119.906,119.906
394,2,2,late,108.2,C|C,8.329,2.206,2.206,125.785,119.662,119.662
395,2,2,late,98.4,C|C,8.329,2.206,2.206,125.785,119.662,119.662
396,2,2,late,112.5,C|C,6.615,2.45,2.45,124.071,119.906,119.906
397,2,2,late,92.5,B|C,6.9,1.494,1.317,124.356,118.95,118.773
398,2,2,late,98.6,A|C,4.483,2.45,0.338,121.94,119.906,117.794
399,2,2,late,93.5,C|C,12.494,2.94,2.621,125.785,119.906,119.588
400,2,2,late,102.4,C|C,8.329,2.206,2.206,125.785,119.662,119.662
401,3,3,early,8.4,C|B|C,37.358,13.59,11.95,128.521,121.154,120.835
402,3,3,early,10.3,A|C|B,47.408,15.923,10.5,126.652,121.035,119.942
403,3,3,early,20.7,B|A|C,27.025,6.998,3.398,126.652,119.565,119.246
404,3,3,early,19.5,C|C|C,45.81,17.279,13.408,129.95,121.867,121.548
405,3,3,early,8.3,C|B|C,34.623,12.342,7.785,128.521,121.154,120.835
406,3,3,early,11.9,B|A|B,31.067,9.317,7.996,125.223,120.323,119.229
407,3,3,early,7.7,B|C|C,30.335,10.204,7.379,128.521,121.154,120.835
408,3,3,early,10.0,C|C|C,33.317,12.498,8.048,129.95,121.623,121.548
409,3,3,early,22.7,C|B|B,39.971,15.196,11.096,127.092,121.912,120.819
410,3,3,early,15.9,A|C|C,36.467,10.431,6.552,128.081,120.277,119.958
411,3,3,early,1.6,A|C|B,40.642,16.329,13.6,125.142,121.035,119.942
412,3,3,early,16.5,A|A|B,26.323,5.217,5.644,124.7,119.446,118.352
413,3,3,early,19.1,A|C|A,36.894,10.404,5.658,126.213,120.158,119.065
414,3,3,early,14.1,C|B|B,49.606,19.652,14.458,127.092,121.912,120.819
415,3,3,early,24.5,C|B|C,35.929,12.877,9.415,128.521,121.154,120.835
416,3,3,early,18.5,A|A|A,17.642,2.5,0.019,122.833,118.569,117.475
417,3,3,early,2.8,A|A|A,25.375,4.725,0.056,122.833,118.569,117.475
418,3,3,early,1.4,A|B|C,14.348,3.996,1.86,125.142,119.565,119.246
419,3,3,early,16.0,B|C|A,24.302,7.846,4.154,126.652,120.756,119.571
420,3,3,early,15.7,C|B|C,46.994,18.046,13.49,128.521,122.625,121.531
421,3,3,early,16.6,B|A|C,33.058,10.583,6.948,126.652,121.035,119.942
422,3,3,early,20.0,B|A|C,25.31,8.958,3.398,124.938,121.525,119.246
423,3,3,early,4.6,B|C|C,24.242,8.758,4.308,128.438,120.91,120.835
424,3,3,early,19.4,C|B|B,30.375,11.044,6.696,127.008,120.042,120.021
425,3,3,early,19.6,C|A|C,36.621,13.967,9.469,128.081,120.277,119.958
426,3,3,early,8.6,A|C|B,35.038,10.254,5.738,126.652,120.1,119.144
427,3,3,early,6.6,B|C|C,45.065,17.333,13.415,128.438,122.625,121.531
428,3,3,early,29.5,B|C|C,27.6,9.083,7.225,128.521,121.154,120.835
429,3,3,early,25.9,C|B|A,28.59,9.983,5.794,126.652,120.756,119.71
430,3,3,early,12.4,A|A|A,17.642,2.5,0.019,122.833,118.569,117.475
431,3,3,early,1.8,B|A|C,31.556,8.617,3.831,126.569,119.565,119.246
432,3,3,early,1.9,A|C|A,34.292,12.735,10.321,124.702,120.158,119.065
433,3,3,early,22.4,B|A|C,33.64,12.9,7.319,126.652,121.035,119.942
434,3,3,early,26.8,C|B|C,35.929,12.877,9.415,128.521,121.154,120.835
435,3,3,early,8.2,C|A|C,57.29,20.233,15.504,128.081,121.748,120.654
436,3,3,early,19.3,C|A|B,39.642,13.183,10.954,126.652,121.035,119.942
437,3,3,early,10.3,B|B|A,33.825,11.442,6.975,125.14,120.323,119.229
438,3,3,early,21.8,C|C|B,45.688,17.51,14.048,128.521,122.625,121.531
439,3,3,early,25.7,B|A|B,27.915,8.069,3.831,125.14,120.323,119.229
440,3,3,early,16.0,A|C|C,44.796,14.352,10.473,128.081,121.748,120.654
441,3,3,early,7.3,B|A|C,28.904,7.369,3.365,126.569,119.565,119.246
442,3,3,early,1.0,A|A|B,16.631,3.463,0.248,123.273,118.51,117.704
443,3,3,early,15.2,A|B|C,25.279,6.277,5.01,126.652,121.035,120.037
444,3,3,early,11.1,A|B|A,24.358,5.723,3.51,124.425,119.167,117.981
445,3,3,early,28.2,C|A|B,36.204,12.344,8.015,126.15,121.035,119.942
446,3,3,early,23.8,C|B|B,26.21,8.956,5.654,127.008,120.042,120.021
447,3,3,early,3.8,C|C|C,33.317,12.498,8.048,129.95,121.623,121.548
448,3,3,early,26.8,B|B|C,38.208,16.11,12.652,127.008,121.912,120.819
449,3,3,early,15.5,A|B|C,23.85,4.873,4.25,126.652,119.565,119.246
450,3,3,early,16.4,C|A|B,29.935,10.696,5.423,126.569,119.821,118.923
451,3,3,early,17.9,B|C|C,30.335,10.204,7.379,128.521,121.154,120.835
452,3,3,early,5.9,C|A|A,34.171,11.217,6.027,126.213,119.879,119.156
453,3,3,early,10.7,C|A|B,32.315,11.067,5.644,126.652,120.1,119.144
454,3,3,early,9.7,A|C|A,21.602,4.117,1.779,125.71,119.879,118.694
455,3,3,early,29.3,B|A|A,14.023,4.24,0.821,123.273,118.888,117.656
456,3,3,early,10.5,C|A|C,38.335,11.985,7.2,128.081,120.277,119.958
457,3,3,early,28.9,A|B|C,32.285,9.671,10.517,126.569,121.035,119.942
458,3,3,early,9.6,A|B|A,33.923,8.083,3.304,124.7,119.446,118.352
459,3,3,early,26.7,B|C|A,36.356,12.85,8.521,126.652,121.035,119.942
460,3,3,early,15.5,A|B|C,28.015,6.833,5.971,126.652,121.035,119.942
461,3,3,early,22.4,B|C|C,51.158,20.698,16.921,128.521,122.625,121.531
462,3,3,early,18.0,C|C|B,35.969,13.181,8.713,128.438,121.69,120.773
463,3,3,early,20.7,B|B|C,29.963,10.562,7.1,127.008,121.912,120.819
464,3,3,early,21.3,B|C|C,34.5,12.165,9.34,128.521,121.154,120.835
465,3,3,early,8.3,C|B|C,49.852,19.598,17.831,128.521,122.625,121.531
466,3,3,early,20.6,C|B|C,38.379,16.819,12.55,128.521,121.154,120.835
467,3,3,early,12.3,A|B|C,23.6,4.873,2.315,126.569,119.565,119.246
468,3,3,middle,73.6,A|B|C,11.492,1.956,1.688,126.652,119.321,119.144
469,3,3,middle,37.4,B|C|B,30.252,11.431,8.11,127.008,120.977,120.021
470,3,3,middle,77.6,C|B|C,17.679,7.885,6.902,128.521,120.91,120.733
471,3,3,middle,43.5,A|A|C,19.808,3.781,3.154,126.213,120.158,119.16
472,3,3,middle,41.7,C|A|B,26.281,7.517,4.281,126.652,120.1,119.144
473,3,3,middle,82.4,C|B|B,13.717,3.075,3.054,127.008,120.042,120.021
474,3,3,middle,41.9,C|C|C,49.975,21.81,18.529,129.95,123.338,122.244
475,3,3,middle,86.1,A|A|C,7.246,0.987,0.59,124.702,118.444,118.046
476,3,3,middle,64.9,A|C|C,17.085,3.438,3.119,128.081,120.277,119.958
477,3,3,middle,66.0,A|B|C,9.777,2.913,1.688,124.938,120.277,119.144
478,3,3,middle,63.4,A|C|A,19.381,4.965,2.594,126.213,119.879,118.694
479,3,3,middle,56.2,A|A|A,11.54,1.758,0.0,122.833,118.29,117.296
480,3,3,middle,38.6,A|B|C,28.121,7.838,8.7,126.569,121.035,119.942
481,3,3,middle,74.9,C|C|C,24.987,7.35,6.713,129.95,121.867,121.548
482,3,3,middle,74.1,C|B|C,22.129,6.46,8.102,128.521,121.154,120.835
483,3,3,middle,70.5,A|C|C,12.921,2.669,2.502,128.081,120.033,119.958
484,3,3,middle,34.6,C|A|C,27.283,8.948,5.313,128.081,120.033,119.679
485,3,3,middle,49.4,B|C|A,22.733,8.002,5.546,126.39,120.756,119.571
486,3,3,middle,49.7,B|C|C,16.535,5.015,3.846,128.521,120.91,120.835
487,3,3,middle,39.5,C|A|C,27.865,11.265,7.86,128.081,120.277,119.958
488,3,3,middle,59.1,B|C|C,20.7,5.748,5.11,128.521,121.154,120.835
489,3,3,middle,48.3,C|C|C,37.481,14.458,11.952,129.95,121.867,121.548
490,3,3,middle,82.3,A|C|C,14.79,3.067,2.713,128.081,120.033,119.679
491,3,3,middle,65.5,B|C|C,18.533,10.402,7.317,126.723,123.115,120.835
492,3,3,middle,66.5,B|C|C,13.8,3.767,3.692,128.521,120.91,120.835
493,3,3,middle,46.5,A|B|A,14.654,2.485,4.425,124.783,119.167,118.125
494,3,3,middle,78.9,B|C|C,13.8,3.767,3.692,128.521,120.91,120.835
495,3,3,middle,62.5,B|A|C,18.831,5.35,3.846,126.652,120.756,119.571
496,3,3,middle,86.0,C|B|C,15.229,3.944,3.767,128.521,120.91,120.733
497,3,3,middle,72.8,A|B|C,11.492,1.956,1.688,126.652,119.321,119.144
498,3,3,middle,62.9,A|A|B,9.54,0.867,0.0,124.7,118.231,117.377
499,3,3,middle,65.2,C|C|C,20.823,6.617,5.448,129.95,121.623,121.548
500,3,3,middle,60.9,A|A|C,22.898,5.742,3.183,125.854,120.158,119.065
501,3,3,middle,48.1,C|A|A,23.546,6.925,6.606,126.213,119.879,118.694
502,3,3,middle,33.6,A|B|C,17.104,5.215,1.915,124.938,121.525,119.246
503,3,3,middle,77.5,B|B|B,13.51,3.433,2.477,125.579,120.265,119.308
504,3,3,middle,36.6,C|B|C,33.194,11.629,11.083,128.521,121.154,120.835
505,3,3,middle,46.4,B|C|B,23.435,8.223,6.173,127.092,120.977,120.021
506,3,3,middle,46.0,A|B|A,17.2,4.475,2.008,123.19,119.446,118.352
507,3,3,middle,32.6,C|B|B,39.721,15.196,16.929,127.008,121.912,120.819
508,3,3,middle,86.9,C|C|C,20.823,6.617,6.298,129.95,121.867,121.548
509,3,3,middle,85.4,B|C|C,15.229,3.944,3.767,128.521,120.91,120.733
510,3,3,middle,68.8,B|B|C,12.371,3.054,2.877,127.092,120.198,120.021
511,3,3,middle,81.1,C|A|A,11.41,2.633,1.819,124.702,119.6,118.785
512,3,3,middle,33.3,C|A|A,32.302,9.627,11.36,126.213,120.158,119.065
513,3,3,middle,46.2,B|A|A,11.288,2.992,0.713,123.273,118.888,117.702
514,3,3,middle,39.5,C|C|C,29.888,15.233,10.715,129.95,121.867,121.548
515,3,3,middle,65.8,B|B|B,10.858,2.185,2.165,125.579,119.329,119.308
516,3,3,middle,46.2,A|B|A,18.719,4.104,1.421,124.342,119.446,118.352
517,3,3,middle,78.6,B|C|C,13.8,3.767,3.692,128.521,120.91,120.835
518,3,3,middle,40.3,C|B|C,31.479,13.61,13.352,128.521,121.154,120.835
519,3,3,middle,76.9,B|C|C,12.085,4.01,3.692,126.806,121.154,120.835
520,3,3,middle,57.7,B|A|C,16.963,3.76,2.256,126.652,119.565,119.246
521,3,3,middle,39.4,C|B|C,46.375,21.431,17.973,128.438,122.625,121.531
522,3,3,middle,83.5,B|B|A,10.252,1.965,1.288,125.056,119.108,118.431
523,3,3,middle,40.2,B|A|C,20.919,5.379,5.927,126.294,119.565,119.246
524,3,3,middle,60.0,A|A|C,15.0,1.785,1.419,125.998,118.688,118.369
525,3,3,middle,68.2,C|C|C,20.823,6.617,5.448,129.95,121.623,121.548
526,3,3,middle,38.0,B|B|C,17.842,5.55,3.185,127.092,120.198,120.021
527,3,3,middle,85.6,A|A|C,11.41,2.76,1.531,124.702,119.6,118.371
528,3,3,middle,88.7,B|C|C,15.229,3.944,3.767,128.521,120.91,120.733
529,3,3,middle,61.1,C|B|C,19.394,5.904,4.633,128.521,120.91,120.733
530,3,3,middle,52.2,B|C|A,29.456,9.642,6.406,126.652,121.035,119.942
531,3,3,middle,39.1,C|A|A,27.981,11.238,6.967,125.902,119.879,118.694
532,3,3,middle,66.4,C|C|C,20.823,6.617,5.448,129.95,121.623,121.548
533,3,3,middle,41.3,C|A|C,31.875,9.654,7.056,128.081,121.748,120.654
534,3,3,middle,49.2,C|B|C,33.194,11.756,9.26,128.521,122.625,121.531
535,3,3,late,108.4,C|C|C,12.494,4.167,4.167,129.95,121.623,121.623
536,3,3,late,106.5,C|C|C,12.494,4.167,4.167,129.95,121.623,121.623
537,3,3,late,101.4,C|C|C,12.494,4.167,4.167,129.95,121.623,121.623
538,3,3,late,99.4,B|B|C,9.552,2.742,2.565,127.008,120.198,120.021
539,3,3,late,108.2,C|C|C,12.494,4.167,4.167,129.95,121.623,121.623
540,3,3,late,102.3,B|C|C,10.981,3.454,3.277,128.438,120.91,120.733
541,3,3,late,111.2,C|C|C,10.779,4.167,4.167,128.235,121.623,121.623
542,3,2,late,114.9,C|C|C,6.615,2.45,2.45,124.071,119.906,119.906
543,3,3,late,94.2,A|B|A,5.733,0.496,0.071,123.19,117.952,117.527
544,3,3,late,98.9,C|C|C,12.494,4.167,4.167,129.95,121.623,121.623
545,3,3,late,103.1,C|C|C,12.494,4.167,4.167,129.95,121.623,121.623
546,3,2,late,114.8,C|C|C,6.615,2.45,2.45,124.071,119.906,119.906
547,3,3,late,106.9,C|C|C,12.494,4.167,4.167,129.95,121.623,121.623
548,3,2,late,114.2,C|C|C,6.615,2.45,2.45,124.071,119.906,119.906
549,3,3,late,99.7,C|C|C,12.494,4.167,4.167,129.95,121.623,121.623
550,3,2,late,115.0,C|C|C,6.615,2.45,2.45,124.071,119.906,119.906
551,3,3,late,98.0,A|B|C,9.112,1.865,1.467,126.569,119.321,118.923
552,3,3,late,105.3,C|C|C,12.494,4.167,4.167,129.95,121.623,121.623
553,3,3,late,100.2,C|C|C,12.494,4.167,4.167,129.95,121.623,121.623
554,3,3,late,99.8,C|C|C,12.494,4.167,4.167,129.95,121.623,121.623
555,3,3,late,92.1,C|C|C,20.823,6.617,6.298,129.95,121.867,121.548
556,3,3,late,111.1,C|C|C,10.779,4.167,4.167,128.235,121.623,121.623
557,3,3,late,112.3,C|C|C,10.779,4.167,4.167,128.235,121.623,121.623
558,3,2,late,113.9,C|C|C,6.615,2.45,2.45,124.071,119.906,119.906
559,3,3,late,95.0,B|C|C,11.065,3.454,3.277,128.521,120.91,120.733
560,3,3,late,109.1,C|C|C,12.494,4.167,4.167,129.95,121.623,121.623
561,3,3,late,100.6,C|B|C,11.065,3.454,3.277,128.521,120.91,120.733
562,3,3,late,94.7,A|A|C,7.246,0.987,0.59,124.702,118.444,118.046
563,3,3,late,98.4,B|C|C,11.065,3.454,3.277,128.521,120.91,120.733
564,3,3,late,101.0,C|B|C,10.981,3.454,3.277,128.438,120.91,120.733
565,3,3,late,101.4,C|C|C,12.494,4.167,4.167,129.95,121.623,121.623
566,3,2,late,103.8,C|C|C,6.615,2.45,2.45,124.071,119.906,119.906
567,3,3,late,99.3,B|C|C,11.065,3.454,3.277,128.521,120.91,120.733
568,3,3,late,96.4,A|C|C,10.625,2.577,2.298,128.081,120.033,119.754
569,3,3,late,104.3,C|C|C,12.494,4.167,4.167,129.95,121.623,121.623
570,3,1,late,115.6,C|C|C,2.45,2.45,2.45,119.906,119.906,119.906
571,3,1,late,116.8,C|C|C,2.45,2.45,2.45,119.906,119.906,119.906
572,3,3,late,112.2,C|C|C,10.779,4.167,4.167,128.235,121.623,121.623
