run,k_shortages,timing_band,first_start_day,shortage_types,passive_tardiness,model1_tardiness,model2_tardiness,passive_makespan,model1_makespan,model2_makespan
659,4,early,19.3,A|B|B|C,4.7,1.483,1.29,118.746,117.456,117.3
660,4,early,11.5,C|C|B|B,12.22,1.854,1.55,119.736,117.456,117.19
661,4,early,19.3,A|A|A|A,11.15,0,0,119.686,117.456,117.456
662,4,early,22.3,B|A|C|C,5.76,2.8,2.8,120.257,120.257,120.257
663,4,early,4.4,B|B|A|C,10.978,0,0,119.835,117.456,117.456
664,4,early,19.3,A|A|A|B,10.65,0,0,119.586,117.456,117.456
665,4,early,19.3,A|C|A|B,10.88,1.483,1.483,119.806,117.456,117.456
666,4,early,19.3,A|A|A|B,4.76,0,0,119.056,117.456,117.456
667,4,early,22.3,B|B|A|C,11.56,1.43,1.43,120.847,118.886,118.886
668,4,middle,36.5,C|B|A|C,8.26,2.225,2.225,119.256,117.456,117.456
669,4,middle,60.7,B|C|C|C,3.63,1.883,1.21,118.666,117.856,117.275
670,4,middle,74.9,C|A|A|C,4.81,1.113,1.06,120.146,117.456,117.441
671,4,middle,36.5,C|C|B|A,15.681,4.45,4.216,121.037,117.456,117.314
672,4,middle,57.7,A|C|A|A,10.711,1.854,1.619,121.027,117.456,117.456
673,4,middle,96.1,A|A|C|C,1.84,1.84,1.84,119.296,119.296,119.296
674,4,middle,61.9,B|B|C|C,5.428,1.948,1.948,119.405,119.405,119.405
675,4,middle,36.5,C|B|C|C,6.15,2.732,2.732,119.446,119.446,119.446
676,4,middle,71,C|C|B|C,3.21,1.483,0.5,119.666,117.456,117.306
677,4,middle,41.5,B|A|B|B,5.35,0,0,119.036,117.456,117.456
678,4,middle,45.9,C|C|B|C,17.47,4.215,4.15,122.475,117.456,117.269
679,4,middle,57.7,A|B|B|C,5.226,0,0,119.224,117.456,117.456
680,4,middle,63.2,C|B|C|C,3.32,2.633,0.84,119.096,118.976,117.275
681,4,middle,41.5,B|A|B|C,8.65,1.88,1.88,119.886,119.336,119.336
682,4,middle,60.7,B|C|C|A,5.22,1.854,1.854,119.196,117.456,117.456
683,4,middle,76.9,A|C|C|C,6.58,1.87,1.87,121.287,119.326,119.326
684,4,middle,51.8,C|A|A|A,9.448,1.113,2.881,121.32,117.456,117.443
685,4,middle,88.2,C|C|C|C,7.329,5.715,2.62,122.165,120.205,117.201
686,4,middle,57.7,A|A|B|C,5.36,2.02,2.02,119.476,119.476,119.476
687,4,middle,69,C|C|B|B,4.48,2.596,1.428,119.116,117.456,117.373
688,4,middle,51.8,C|B|C|C,2.41,1.412,0.47,118.456,118.126,117.276
689,4,middle,86.3,C|C|C|C,1.42,1.762,0.4,118.476,118.476,117.206
690,4,middle,49.9,C|A|C|C,5.47,4.016,2.513,118.876,118.876,117.251
691,4,middle,36.5,C|C|A|C,8.2,2.225,2.225,119.096,117.456,117.456
692,4,middle,57.7,A|C|C|C,14.422,2.771,0.57,123.777,119.857,117.896
693,4,middle,34.6,C|A|C|C,11.9,3.485,3.485,120.677,118.716,118.716
694,4,middle,60.7,B|C|C|A,4.672,0,0,119.948,117.456,117.456
695,4,middle,82.3,C|C|C|C,4.488,4.823,4.488,120.055,120.055,120.055
696,4,middle,76.9,A|B|A|B,4.568,0,0,119.744,117.456,117.456
697,4,middle,38.5,A|A|C|C,6.53,3.963,1.75,120.306,120.306,118.346
698,4,middle,60.7,B|A|A|C,2.7,0.55,0.55,118.506,118.006,118.006
699,4,middle,49.9,C|B|C|C,4.51,2.633,1.12,118.606,118.606,117.185
700,4,middle,57.7,A|B|C|B,4.62,1.854,1.54,118.996,117.456,117.234
701,4,middle,63.2,C|C|C|C,4.2,3.976,1.688,118.856,118.836,117.744
702,4,middle,41.5,B|C|B|C,6.33,0,0,119.256,117.456,117.456
703,4,middle,45.9,C|A|A|C,3.27,1.782,1.782,118.836,118.496,118.496
704,4,middle,60.7,B|B|C|B,4.26,1.483,1.27,118.876,117.456,117.335
705,4,middle,82.3,C|B|B|C,5.53,3.833,1.61,121.767,119.806,117.846
706,4,middle,57.7,A|A|B|B,4.502,0,0,119.856,117.456,117.456
707,4,middle,76.9,A|B|C|C,3.88,1.34,1.34,119.396,118.796,118.796
708,4,middle,90.2,C|A|A|A,2.82,1.483,1.41,118.866,117.456,117.26
709,4,middle,79.8,B|B|C|C,1.96,0,0,118.566,117.456,117.456
710,4,middle,79.8,B|C|C|A,3.18,0,0,119.236,117.456,117.456
711,4,middle,76.9,A|B|C|C,6.57,4.826,2.65,121.647,119.686,117.726
712,4,middle,65.1,C|C|C|A,5.63,1.854,1.854,119.426,117.456,117.456
713,4,middle,53.8,C|B|C|B,6.86,1.113,1.113,119.906,117.456,117.456
714,4,middle,96.1,A|C|C|C,3.79,1.83,1.83,121.247,119.286,119.286
715,4,middle,96.1,A|A|B|C,2.318,0,0,119.775,117.456,117.456
716,4,middle,57.7,A|A|C|C,3.63,1.04,1.04,118.806,118.496,118.496
717,4,middle,60.7,B|C|B|C,3.22,1.74,1.74,119.196,119.196,119.196
718,4,middle,79.8,B|C|C|C,2.96,2.973,1.1,119.316,119.316,117.213
719,4,middle,57.7,A|B|C|C,4.79,1.05,1.05,120.467,118.506,118.506
720,4,middle,38.5,A|B|B|C,10.15,1.95,1.95,121.367,119.406,119.406
721,4,middle,67.1,C|C|C|C,3.868,3.35,3.35,120.065,120.065,120.065
722,4,middle,82.3,C|C|A|C,2.8,1.483,1.39,118.866,117.456,117.455
723,4,middle,60.7,B|B|C|B,7.47,2.596,2.596,119.946,117.456,117.456
724,4,middle,76.9,A|B|A|B,4.34,0,0,119.626,117.456,117.456
725,4,middle,79.8,B|A|B|C,5.41,2.52,2.52,121.937,119.976,119.976
726,4,middle,57.7,A|B|B|C,4.17,1.854,1.55,119.006,117.456,117.19
727,4,middle,63.2,C|B|C|C,5.878,2.664,1.49,120.355,118.266,117.184
728,4,middle,67.1,C|A|A|C,4.56,2.596,1.16,119.156,117.456,117.17
729,4,middle,41.5,B|B|C|B,4.03,1.854,1.55,119.006,117.456,117.19
730,4,middle,76.9,A|A|A|C,3.05,0,0,120.166,117.456,117.456
731,4,middle,96.1,A|B|C|C,3.778,0,0,121.235,117.456,117.456
732,4,middle,57.7,A|B|C|C,8.78,1.24,1.24,120.657,118.696,118.696
733,4,middle,57.7,A|A|A|C,3.22,1.26,1.26,118.776,118.716,118.716
734,4,middle,57.7,A|B|B|A,3.37,0,0,119.386,117.456,117.456
735,4,late,99,B|C|C|C,1.57,1.23,1.23,119.026,118.686,118.686
736,4,late,111.3,C|C|C|C,1.64,1.64,1.64,119.096,119.096,119.096
737,4,late,101.5,C|C|C|C,1.55,1.55,1.55,119.006,119.006,119.006
738,4,late,99,B|C|C|C,1.84,0.87,0.87,119.296,118.326,118.326
739,4,late,101.5,C|C|C|C,3.55,3.55,3.55,121.007,121.007,121.007
740,4,late,100.3,B|C|C|C,3.12,1.16,0,120.577,118.616,117.43
741,4,late,99,B|C|C|C,4.138,1.78,1.78,121.595,119.236,119.236
742,4,late,100.3,B|B|C|C,1.58,1.58,1.58,119.036,119.036,119.036
743,4,late,107.4,C|C|C|C,1.18,1.18,1.18,118.636,118.636,118.636
744,4,late,103.5,C|C|C|C,0.93,0.93,0.93,118.386,118.386,118.386
745,4,late,105.5,C|C|C|C,4.129,4.129,4.129,121.585,121.585,121.585
746,4,late,113.3,C|C|C|C,4.458,4.458,4.458,121.915,121.915,121.915
747,4,late,99,B|B|B|C,2.25,0,0,119.706,117.456,117.456
748,4,late,105.5,C|C|C|C,5.301,5.301,5.301,122.757,122.757,122.757
749,4,late,111.3,C|C|C|C,0.87,0.87,0.87,118.326,118.326,118.326
750,4,late,96.4,A|B|C|C,0.98,0.6,0.6,118.436,118.056,118.056
751,4,late,99,B|C|C|C,2.348,2.348,2.348,119.805,119.805,119.805
752,4,late,109.4,C|C|C|C,1.6,1.6,1.6,119.056,119.056,119.056
753,4,late,99,B|C|C|C,1.89,1.89,1.89,119.346,119.346,119.346
754,4,late,109.4,C|C|C|C,1.248,1.248,1.248,118.705,118.705,118.705
755,4,late,103.5,C|C|C|C,1.53,1.53,1.53,118.986,118.986,118.986
756,4,late,101.5,C|C|C|C,1.67,1.67,1.67,119.126,119.126,119.126
757,4,late,113.3,C|C|C|C,0.91,0.91,0.91,118.366,118.366,118.366
758,4,late,113.3,C|C|C|C,1.16,1.16,1.16,118.616,118.616,118.616
759,4,late,101.5,C|C|C|C,1.94,1.94,1.94,119.396,119.396,119.396
760,4,late,96.1,A|B|C|C,1.22,1.22,1.22,118.676,118.676,118.676
761,4,late,115.4,C|C|C|C,0,0,0,117.456,117.456,117.456
762,4,late,116.8,C|C|C|C,0,0,0,117.456,117.456,117.456
763,4,late,114.2,C|C|C|C,0,0,0,117.456,117.456,117.456
764,4,late,105.5,C|C|C|C,2.709,2.709,2.709,120.165,120.165,120.165
765,4,late,96.1,A|C|C|C,1.94,1.94,1.94,119.396,119.396,119.396
766,4,late,99,B|B|B|C,1.24,0,0,118.696,117.456,117.456
767,4,late,99,B|C|C|C,2.92,0.69,0.69,120.377,118.146,118.146
768,4,late,113.3,C|C|C|C,1.728,1.728,1.728,119.185,119.185,119.185
769,4,late,101.5,C|C|C|C,2.48,2.48,2.48,119.936,119.936,119.936
770,4,late,113.3,C|C|C|C,1.56,1.56,1.56,119.016,119.016,119.016
771,4,late,105.5,C|C|C|C,3.71,3.71,3.71,121.167,121.167,121.167
772,4,late,99,B|B|C|C,4.21,2.25,2.25,121.667,119.706,119.706
773,4,late,109.4,C|C|C|C,2.97,2.97,2.97,120.427,120.427,120.427
774,4,late,116.1,C|C|C|C,0,0,0,117.456,117.456,117.456
775,4,late,109.4,C|C|C|C,3.848,3.848,3.848,121.305,121.305,121.305
776,4,late,109.4,C|C|C|C,1.13,1.13,1.13,118.586,118.586,118.586
777,4,late,115.5,C|C|C|C,0,0,0,117.456,117.456,117.456
778,4,late,99,B|C|C|C,1.31,0,0,118.766,117.456,117.456
779,4,late,113.3,C|C|C|C,2.658,2.658,2.658,120.115,120.115,120.115
780,4,late,116.8,C|C|C|C,0,0,0,117.456,117.456,117.456
781,4,late,105.5,C|C|C|C,2.23,2.23,2.23,119.686,119.686,119.686
782,4,late,99,B|B|C|C,1.03,1.03,1.03,118.486,118.486,118.486
783,4,late,109.4,C|C|C|C,2.68,2.68,2.68,120.136,120.136,120.136
784,4,late,101.5,C|C|C|C,1.96,1.96,1.96,119.416,119.416,119.416
785,4,late,109.4,C|C|C|C,1.21,1.21,1.21,118.666,118.666,118.666
786,4,late,114.8,C|C|C|C,0,0,0,117.456,117.456,117.456
787,4,late,96.1,A|B|B|C,4.17,2.21,2.21,121.627,119.666,119.666
788,4,late,113.3,C|C|C|C,1.34,1.34,1.34,118.796,118.796,118.796
789,4,late,113.5,C|C|C|C,0,0,0,117.456,117.456,117.456
790,4,late,113.3,C|C|C|C,0.48,0.48,0.48,117.936,117.936,117.936
791,4,late,105.5,C|C|C|C,1.32,1.32,1.32,118.776,118.776,118.776
792,4,late,113.3,C|C|C|C,0.99,0.99,0.99,118.446,118.446,118.446
793,4,late,111.3,C|C|C|C,1.52,1.52,1.52,118.976,118.976,118.976
794,4,late,113.4,C|C|C|C,0,0,0,117.456,117.456,117.456
795,4,late,111.3,C|C|C|C,2.51,2.51,2.51,119.966,119.966,119.966
796,4,late,105.5,C|C|C|C,0.8,0.8,0.8,118.256,118.256,118.256
797,4,late,113.3,C|C|C|C,3.458,3.458,3.458,120.915,120.915,120.915
798,4,late,107.4,C|C|C|C,1.57,1.57,1.57,119.026,119.026,119.026
799,4,late,100.3,B|C|C|C,1.69,1.29,1.29,119.146,118.746,118.746
800,4,late,100.3,B|C|C|C,1.74,1.74,1.74,119.196,119.196,119.196
801,5,early,26.7,C|A|B|A|C,4.35,1.553,1.553,118.326,117.896,117.896
802,5,early,21.6,A|B|B|C|A,13.701,1.113,0.78,120.197,117.456,117.372
803,5,early,19.3,A|C|B|A|C,6.8,1.673,1.673,119.376,118.016,118.016
804,5,early,15.4,C|B|C|C|C,9.98,4.238,1.12,119.276,118.356,117.407
805,5,early,7.6,C|B|B|A|A,15.77,1.854,1.854,121.471,117.456,117.456
806,5,early,19.3,A|B|A|A|C,8.53,0.74,0.74,120.157,118.196,118.196
807,5,early,38.5,A|A|B|C|C,10.701,1.854,1.6,121.017,117.456,117.294
808,5,early,22.3,B|A|B|C|C,4.58,1.04,1.04,118.496,118.496,118.496
809,5,early,17.4,C|A|C|C|C,17.562,4.956,4.956,121.777,119.816,119.816
810,5,early,19.3,A|A|C|A|C,9.288,1.854,1.854,119.715,117.456,117.456
811,5,early,19.3,A|C|A|B|B,8.39,1.113,1.113,119.486,117.456,117.456
812,5,early,19.3,A|A|B|C|B,4.64,0,0,118.456,117.456,117.456
813,5,early,24.8,C|B|A|B|B,10.794,2.225,1.92,120.57,117.456,117.243
814,5,early,19.3,A|B|A|B|C,12.41,1.09,1.09,120.507,118.546,118.546
815,5,early,5.6,C|A|A|C|C,7.8,2.225,1.963,118.926,117.456,117.285
816,5,early,5.6,C|C|A|B|C,12.04,4.45,1.82,119.696,117.456,117.242
817,5,early,21.6,A|B|B|B|C,9.26,2.54,2.54,121.957,119.996,119.996
818,5,early,22.3,B|C|B|A|C,9.65,2.462,0.42,119.386,119.176,117.307
819,5,early,19.3,A|A|A|C|C,10.2,2.591,0.559,121.637,119.676,117.736
820,5,early,15.4,C|A|B|A|B,10.64,1.854,1.854,119.316,117.456,117.456
821,5,early,19.3,A|B|C|A|A,6.12,0.742,0.742,118.726,117.456,117.456
822,5,early,24.8,C|C|B|B|B,9.75,2.225,1.95,119.406,117.456,117.311
823,5,early,19.3,A|B|C|B|B,9.45,2.225,1.99,119.386,117.456,117.456
824,5,early,19.3,A|B|C|C|C,19.64,5.423,5.423,122.985,121.025,121.025
825,5,early,17.4,C|C|B|B|C,19.352,4.709,4.709,120.867,118.086,118.086
826,5,early,22.3,B|B|C|C|C,6.55,3.024,1.55,119.006,118.626,117.244
827,5,early,22.3,B|A|C|C|C,3.57,1.93,1.93,119.386,119.386,119.386
828,5,early,19.3,A|C|A|C|C,12.91,1.852,1.852,120.655,118.566,118.566
829,5,early,22.3,B|B|A|C|C,6.549,0,0,120.765,117.456,117.456
830,5,early,19.3,A|A|B|C|C,5.36,0.79,0.79,118.756,118.246,118.246
831,5,early,30.7,C|C|C|C|C,6.17,5.208,2.982,119.326,119.326,117.464
832,5,early,15.4,C|C|A|C|C,10.24,4.45,4.116,119.316,117.456,117.214
833,5,early,13.4,C|B|C|B|C,16.332,4.114,4.114,121.677,119.716,119.716
834,5,early,24.8,C|A|C|B|B,5.98,1.854,1.602,120.306,117.456,117.295
835,5,early,2.4,A|A|C|A|A,16.387,1.113,1.113,121.822,117.456,117.456
836,5,early,24.8,C|C|A|B|B,17.102,4.079,4.079,121.207,117.456,117.456
837,5,early,3.1,B|A|C|C|C,15.12,1.4,1.4,119.976,118.856,118.856
838,5,early,19.3,A|C|B|C|B,7.77,0.742,0.38,119.286,117.456,117.418
839,5,early,38.5,A|B|B|C|C,5.05,2.3,2.3,119.756,119.756,119.756
840,5,early,22.3,B|C|A|C|C,11.17,0.81,0.81,120.227,118.266,118.266
841,5,early,30.7,C|A|B|B|C,7.13,2.112,2.112,119.396,118.826,118.826
842,5,early,19.3,A|B|A|A|B,12.1,0,0,119.876,117.456,117.456
843,5,early,24.8,C|C|B|B|C,7.6,3.084,1.52,118.976,118.686,117.214
844,5,early,3.1,B|A|A|B|C,13.45,2.04,2.04,121.457,119.496,119.496
845,5,early,38.5,A|B|B|B|C,10.44,0,0,120.066,117.456,117.456
846,5,early,19.3,A|C|A|B|C,5.62,1.211,1.211,119.186,118.296,118.296
847,5,early,23.5,B|B|A|B|C,4.99,0.5,0.5,119.917,117.956,117.956
848,5,early,22.3,B|A|B|C|C,7.78,3.634,1.818,119.246,119.236,117.484
849,5,early,22.3,B|A|A|B|C,11.151,1.854,1.81,121.227,117.456,117.45
850,5,early,22.3,B|B|B|C|C,10.15,0.742,0.59,119.486,117.456,117.342
851,5,early,22.3,B|A|C|C|C,6.84,1.47,1.47,119.116,118.926,118.926
852,5,early,5.6,C|B|C|A|C,9.24,1.882,1.882,120.187,118.226,118.226
853,5,early,19.3,A|B|C|C|C,7.67,2.674,2.674,119.286,118.276,118.276
854,5,early,22.3,B|A|B|C|B,6.38,1.854,1.69,119.146,117.456,117.384
855,5,early,22.3,B|B|B|C|A,6.81,0,0,120.076,117.456,117.456
856,5,early,20.4,A|C|B|A|B,5.14,1.113,1.113,118.496,117.456,117.456
857,5,early,17.4,C|B|B|A|B,5.1,1.113,1.113,118.306,117.456,117.456
858,5,early,38.5,A|A|B|B|A,8.26,0,0,119.846,117.456,117.456
859,5,early,24.8,C|A|A|B|C,8.165,1.113,0.77,119.448,117.456,117.205
860,5,early,19.3,A|A|C|C|C,7.15,3.353,1.428,119.326,119.326,117.475
861,5,early,30.7,C|A|C|C|C,6.23,3.255,1.943,118.776,118.486,117.44
862,5,early,3.1,B|C|C|C|A,10.38,3.338,3.338,119.186,117.456,117.456
863,5,early,19.3,A|B|A|C|C,10.278,0.99,0.99,120.505,118.446,118.446
864,5,early,23.5,B|B|B|C|C,15.472,2.967,1.55,120.967,117.456,117.244
865,5,early,20.4,A|B|A|C|C,16.083,1.113,0.82,121.495,117.456,117.255
866,5,early,28.7,C|B|B|B|C,4.83,1.483,1.162,118.646,117.456,117.172
867,5,early,19.3,A|A|B|A|A,7.68,0,0,119.576,117.456,117.456
868,5,middle,82.3,C|C|B|C|C,6.45,4.705,2.01,121.897,119.936,117.333
869,5,middle,57.7,A|B|C|C|C,6.92,3.55,3.55,121.007,121.007,121.007
870,5,middle,99,B|B|C|C|C,2.44,2.44,2.44,119.897,119.897,119.897
871,5,middle,65.1,C|C|C|C|B,7.23,6.946,2.415,120.046,117.456,117.17
872,5,middle,90.2,C|C|B|C|C,3.86,3.095,1.93,119.386,118.326,117.301
873,5,middle,55.7,C|C|C|C|C,5.44,5.51,2.403,119.056,118.516,117.355
874,5,middle,82.3,C|A|A|B|C,4.678,2.225,2.02,120.115,117.456,117.343
875,5,middle,79.8,B|C|C|C|C,2.838,3.101,0.85,119.445,119.445,117.285
876,5,middle,90.2,C|A|A|B|C,4.25,2.292,0.74,120.967,119.006,117.332
877,5,middle,69,C|A|A|B|C,4.88,2.042,2.042,120.717,118.756,118.756
878,5,middle,57.7,A|B|A|C|C,5.43,3.01,3.01,120.467,120.467,120.467
879,5,middle,60.7,B|C|B|C|C,8.47,1.23,1.23,120.647,118.686,118.686
880,5,middle,84.3,C|A|B|C|C,2.7,3.013,0.831,119.356,119.356,117.487
881,5,middle,57.7,A|A|B|B|B,6.568,0,0,121.344,117.456,117.456
882,5,middle,57.7,A|A|B|B|B,8.43,0,0,120.266,117.456,117.456
883,5,middle,60.7,B|B|C|B|C,5.85,0,0,120.787,117.456,117.456
884,5,middle,79.8,B|A|B|C|C,4.43,1.33,1.33,120.747,118.786,118.786
885,5,middle,82.3,C|A|B|C|C,6.24,4.526,2.81,121.347,119.386,117.916
886,5,middle,49.9,C|A|B|B|C,4.46,1.773,1.773,118.646,118.116,118.116
887,5,middle,82.3,C|A|A|C|C,5.95,4.266,2.32,121.087,119.126,117.272
888,5,middle,60.7,B|B|B|C|C,9.651,0.57,0.57,121.947,118.026,118.026
889,5,middle,41.5,B|C|B|B|C,7.37,3.293,3.293,119.636,119.636,119.636
890,5,middle,79.1,A|A|B|C|C,3.72,0.96,0.96,119.376,118.416,118.416
891,5,middle,45.9,C|C|C|C|A,8.5,5.327,4.354,119.956,117.456,117.248
892,5,middle,57.7,A|B|B|C|C,3.48,1.18,1.18,118.636,118.636,118.636
893,5,middle,60.7,B|C|C|C|C,4.98,1.862,1.862,119.116,118.576,118.576
894,5,middle,84.3,C|C|A|B|C,3.18,2.063,1.27,119.366,118.036,117.12
895,5,middle,82.3,C|A|B|C|C,2.858,2.891,1.08,119.235,119.235,117.301
896,5,middle,96.1,A|B|C|C|C,1.53,1.53,1.53,118.986,118.986,118.986
897,5,middle,47.9,C|A|A|B|B,6.92,1.483,1.13,119.626,117.456,117.195
898,5,middle,44,C|A|C|C|A,6.77,2.225,1.22,119.306,117.456,117.438
899,5,middle,76.9,A|B|B|C|C,5.478,1.5,1.5,120.917,118.956,118.956
900,5,middle,57.7,A|A|C|C|C,10.981,2.984,1.7,121.117,118.586,117.394
901,5,middle,88.2,C|C|A|B|C,6.861,5.505,3.43,120.887,118.746,117.405
902,5,middle,99,B|B|C|C|C,1.26,1.26,1.26,118.716,118.716,118.716
903,5,middle,76.9,A|C|C|C|C,1.7,1.02,1.02,118.476,118.476,118.476
904,5,middle,63.2,C|C|C|C|C,3.05,2.663,0.75,119.006,119.006,117.185
905,5,middle,81.1,B|B|B|B|C,2.42,0.36,0.36,118.836,117.816,117.816
906,5,middle,65.1,C|C|A|A|C,4.898,2.967,1.82,120.535,117.456,117.412
907,5,middle,53.8,C|A|A|C|C,7.668,1.483,1.483,121.135,117.456,117.456
908,5,middle,57.7,A|A|B|C|A,6.05,2.967,2.64,120.096,117.456,117.221
909,5,middle,60.7,B|A|B|C|C,5.43,1.09,1.09,119.266,118.546,118.546
910,5,middle,86.3,C|A|C|C|C,2.808,2.97,0.58,119.685,119.685,117.172
911,5,middle,78.7,A|B|C|A|C,2.77,1.302,0.6,118.896,118.016,117.454
912,5,middle,38.5,A|B|B|A|B,9.08,0,0,119.726,117.456,117.456
913,5,middle,61.9,B|B|A|C|C,4.42,0.34,0.34,119.246,117.796,117.796
914,5,middle,76.9,A|A|B|C|C,3.208,0.51,0.51,119.955,117.966,117.966
915,5,middle,38.5,A|B|C|A|C,8.3,2.54,2.54,119.996,119.996,119.996
916,5,middle,96.1,A|A|C|C|C,2.46,2.46,2.46,119.916,119.916,119.916
917,5,middle,38.5,A|C|A|A|C,7.64,3.975,2.224,119.366,119.206,117.77
918,5,middle,67.1,C|C|A|B|C,6.82,4.074,4.074,119.956,119.676,119.676
919,5,middle,41.5,B|C|A|B|A,10.8,0,0,120.156,117.456,117.456
920,5,middle,41.5,B|A|B|A|C,9.56,0.94,0.94,120.357,118.396,118.396
921,5,middle,82.3,C|C|C|A|A,6.741,5.463,3.37,120.827,117.456,117.37
922,5,middle,76.9,A|C|A|B|B,3.8,1.854,1.79,119.466,117.456,117.269
923,5,middle,65.1,C|A|B|C|C,1.08,2.003,0.89,118.536,118.346,118.346
924,5,middle,41.5,B|C|A|C|B,5.29,1.854,1.533,118.906,117.456,117.226
925,5,middle,82.3,C|C|A|C|C,5.529,3.674,2.524,120.495,118.535,117.49
926,5,middle,44,C|C|A|B|C,10.1,4.455,2.24,121.647,119.686,117.726
927,5,middle,96.1,A|A|C|C|C,4.68,4.68,4.68,122.137,122.137,122.137
928,5,middle,41.5,B|B|B|C|C,4.66,0.82,0.82,119.046,118.276,118.276
929,5,middle,57.7,A|C|A|A|C,3.69,1.543,0.82,119.506,117.886,117.255
930,5,middle,76.9,A|B|B|B|C,1.75,0,0,118.736,117.456,117.456
931,5,middle,53.8,C|C|B|B|A,11.522,2.967,2.967,120.337,117.456,117.456
932,5,middle,76.9,A|B|C|C|C,2.05,1.872,0.48,118.586,118.586,117.395
933,5,middle,57.7,A|A|C|B|C,6.2,2.225,2.18,119.636,117.456,117.449
934,5,middle,38.5,A|A|B|C|A,12.791,2.225,2,121.417,117.456,117.323
935,5,late,101.5,C|C|C|C|C,1.57,1.57,1.57,119.026,119.026,119.026
936,5,late,115.4,C|C|C|C|C,0,0,0,117.456,117.456,117.456
937,5,late,113.3,C|C|C|C|C,2.488,2.488,2.488,119.945,119.945,119.945
938,5,late,99,B|C|C|C|C,1.59,1.59,1.59,119.046,119.046,119.046
939,5,late,114.2,C|C|C|C|C,0,0,0,117.456,117.456,117.456
940,5,late,109.4,C|C|C|C|C,1.7,1.7,1.7,119.156,119.156,119.156
941,5,late,96.1,A|C|C|C|C,3.19,3.19,3.19,120.647,120.647,120.647
942,5,late,107.4,C|C|C|C|C,2.258,2.258,2.258,119.715,119.715,119.715
943,5,late,101.5,C|C|C|C|C,3.098,3.098,3.098,120.555,120.555,120.555
944,5,late,98.7,A|B|C|C|C,1.48,0.64,0.64,118.936,118.096,118.096
945,5,late,113.3,C|C|C|C|C,3.578,3.578,3.578,121.035,121.035,121.035
946,5,late,103.5,C|C|C|C|C,1.73,1.73,1.73,119.186,119.186,119.186
947,5,late,113.3,C|C|C|C|C,2.23,2.23,2.23,119.686,119.686,119.686
948,5,late,111.3,C|C|C|C|C,2.15,2.15,2.15,119.606,119.606,119.606
949,5,late,107.4,C|C|C|C|C,1.29,1.29,1.29,118.746,118.746,118.746
950,5,late,107.4,C|C|C|C|C,2.408,2.408,2.408,119.865,119.865,119.865
951,5,late,105.5,C|C|C|C|C,2.458,2.458,2.458,119.915,119.915,119.915
952,5,late,111.3,C|C|C|C|C,1.09,1.09,1.09,118.546,118.546,118.546
953,5,late,96.1,A|C|C|C|C,3.34,3.34,3.34,120.797,120.797,120.797
954,5,late,105.5,C|C|C|C|C,2.24,2.24,2.24,119.696,119.696,119.696
955,5,late,105.5,C|C|C|C|C,2.49,2.49,2.49,119.946,119.946,119.946
956,5,late,107.4,C|C|C|C|C,2.41,2.41,2.41,119.866,119.866,119.866
957,5,late,103.5,C|C|C|C|C,2.438,2.438,2.438,119.895,119.895,119.895
958,5,late,113.3,C|C|C|C|C,1.75,1.75,1.75,119.206,119.206,119.206
959,5,late,103.5,C|C|C|C|C,2.878,2.878,2.878,120.335,120.335,120.335
960,5,late,101.5,C|C|C|C|C,2.04,2.04,2.04,119.496,119.496,119.496
961,5,late,103.5,C|C|C|C|C,2.55,2.55,2.55,120.006,120.006,120.006
962,5,late,115.5,C|C|C|C|C,0,0,0,117.456,117.456,117.456
963,5,late,101.5,C|C|C|C|C,1.4,1.4,1.4,118.856,118.856,118.856
964,5,late,113.3,C|C|C|C|C,2.19,2.19,2.19,119.646,119.646,119.646
965,5,late,92.1,C|B|C|C|C,6.15,4.385,2.23,121.577,119.616,117.656
966,5,late,101.5,C|C|C|C|C,1.92,1.92,1.92,119.376,119.376,119.376
967,5,late,96.1,A|C|C|C|C,2.328,2.328,2.328,119.785,119.785,119.785
968,5,late,96.1,A|B|C|C|C,1.74,1.74,1.74,119.196,119.196,119.196
969,5,late,111.3,C|C|C|C|C,1.63,1.63,1.63,119.086,119.086,119.086
970,5,late,92.1,C|C|C|C|C,1.83,1.962,0.61,118.676,118.676,117.416
971,5,late,97.5,A|C|C|C|C,1.44,1.44,1.44,118.896,118.896,118.896
972,5,late,101.5,C|C|C|C|C,2.17,2.17,2.17,119.626,119.626,119.626
973,5,late,101.5,C|C|C|C|C,2.22,2.22,2.22,119.676,119.676,119.676
974,5,late,109.4,C|C|C|C|C,1.26,1.26,1.26,118.716,118.716,118.716
975,5,late,99,B|C|C|C|C,2.86,0.9,0.9,120.316,118.356,118.356
976,5,late,113.9,C|C|C|C|C,0,0,0,117.456,117.456,117.456
977,5,late,96.1,A|C|C|C|C,4.088,4.088,4.088,121.545,121.545,121.545
978,5,late,99,B|C|C|C|C,1.16,1.028,1.028,118.616,118.485,118.485
979,5,late,99,B|C|C|C|C,2.21,2.21,2.21,119.666,119.666,119.666
980,5,late,96.1,A|B|C|C|C,1.38,1.38,1.38,118.836,118.836,118.836
981,5,late,94.1,C|C|C|C|C,2.41,2.583,0.94,118.926,118.926,117.375
982,5,late,101.5,C|C|C|C|C,1.7,1.7,1.7,119.156,119.156,119.156
983,5,late,107.4,C|C|C|C|C,1.72,1.72,1.72,119.176,119.176,119.176
