run,k_shortages,timing_band,first_start_day,shortage_types,passive_tardiness,model1_tardiness,model2_tardiness,passive_makespan,model1_makespan,model2_makespan
401,3,early,22.3,B|B|C,7.34,1.854,1.63,119.086,117.456,117.324
402,3,early,19.3,A|C|C,5.048,0,0,118.865,117.456,117.456
403,3,early,24.8,C|B|C,6.43,2.967,0.86,119.026,117.456,117.295
404,3,early,38.5,A|C|C,7.72,3.338,1.93,119.386,117.456,117.253
405,3,early,28.7,C|A|B,8.95,1.854,1.854,119.306,117.456,117.456
406,3,early,19.3,A|A|C,8.23,0.742,0.742,119.316,117.456,117.456
407,3,early,41.5,B|A|C,5.683,1.82,1.82,119.418,119.276,119.276
408,3,early,19.3,A|A|C,4.86,1.58,1.58,119.036,119.036,119.036
409,3,early,38.5,A|B|B,5.92,0,0,119.206,117.456,117.456
410,3,early,9.5,C|C|C,6.48,3.266,2.432,118.776,118.126,117.33
411,3,early,5.6,C|B|A,9.62,1.483,1.483,119.226,117.456,117.456
412,3,early,41.5,B|A|C,5.64,0.88,0.88,118.866,118.336,118.336
413,3,early,17.4,C|B|C,6.72,1.483,1.12,118.576,117.456,117.339
414,3,early,38.5,A|A|C,3.461,0.93,0.93,118.697,118.386,118.386
415,3,early,5.6,C|A|C,14.782,2.225,2.225,120.377,117.456,117.456
416,3,early,5.6,C|A|C,11.34,1.372,1.372,120.047,118.086,118.086
417,3,early,26.7,C|A|B,8.49,0.742,0.742,119.826,117.456,117.456
418,3,early,22.3,B|C|C,8.95,0.45,0.45,119.246,117.906,117.906
419,3,early,5.6,C|C|C,10.08,4.428,3.259,119.136,118.546,117.541
420,3,early,22.3,B|C|A,9.17,2.225,2.225,119.596,117.456,117.456
421,3,early,19.3,A|A|C,13.25,2.13,2.13,121.547,119.586,119.586
422,3,early,17.4,C|B|B,10.28,0.742,0.742,119.416,117.456,117.456
423,3,early,20.4,A|B|B,5.13,0,0,118.706,117.456,117.456
424,3,early,22.3,B|A|C,3.86,0.86,0.86,118.316,118.316,118.316
425,3,early,22.3,B|C|C,7.9,3.338,0.77,119.736,117.456,117.443
426,3,early,19.3,A|B|C,13.55,2.28,2.28,120.206,119.736,119.736
427,3,early,19.3,A|B|C,9.65,1.04,1.04,119.386,118.496,118.496
428,3,early,17.4,C|B|B,5.46,1.113,0.79,118.486,117.456,117.33
429,3,early,19.3,A|A|A,10.11,0,0,119.586,117.456,117.456
430,3,early,38.5,A|C|A,5.6,1.483,1.483,118.856,117.456,117.456
431,3,early,19.3,A|B|B,9.75,0,0,119.406,117.456,117.456
432,3,early,38.5,A|B|C,3.96,0.73,0.73,118.446,118.186,118.186
433,3,early,17.4,C|C|C,10.97,3.338,3.338,119.466,117.456,117.456
434,3,early,15.4,C|B|B,8.52,0.742,0.742,119.226,117.456,117.456
435,3,early,28.7,C|C|C,5.7,2.225,1.14,118.596,117.456,117.215
436,3,early,19.3,A|B|A,6.25,0,0,118.706,117.456,117.456
437,3,early,28.7,C|B|C,7.1,2.596,2.533,118.876,117.456,117.223
438,3,early,22.3,B|B|B,6.55,0,0,118.766,117.456,117.456
439,3,early,19.3,A|A|C,11.72,1.68,1.68,121.097,119.136,119.136
440,3,early,22.3,B|C|C,8.15,1.95,1.95,119.406,119.406,119.406
441,3,early,38.5,A|C|C,7.8,2.953,2.953,119.406,119.296,119.296
442,3,early,38.5,A|C|C,5.24,2.69,2.69,120.147,120.147,120.147
443,3,early,13.4,C|B|C,5.93,2.596,2.232,118.946,117.456,117.184
444,3,early,22.3,B|C|A,7.05,1.483,1.483,118.866,117.456,117.456
445,3,early,38.5,A|A|B,5.56,0,0,118.846,117.456,117.456
